pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad,radius_frac_error
K2-119 b,K2-119,2017,Transit,7.727283,2.53,0.2,-0.2,4740.0,0.71,0.0790513833992095
Kepler-691 b,Kepler-691,2016,Transit,8.114379,2.09,0.09,-0.09,3715.0,0.5,0.0430622009569378
HD 136352 c,HD 136352,2019,Radial Velocity,27.59221,2.916,0.075,-0.073,5664.0,1.058,0.0257201646090535
K2-213 b,K2-213,2018,Transit,8.13087,1.51398464,0.29814572,-0.20976135,5794.0,1.20424,0.19692783673155362
Kepler-1083 b,Kepler-1083,2016,Transit,33.4177993,3.36,0.16,-0.63,5049.0,0.77,0.1875
Kepler-724 b,Kepler-724,2016,Transit,3.314946338,3.29,0.4,-0.23,5437.0,0.86,0.12158054711246201
Kepler-190 b,Kepler-190,2014,Transit,2.019999,1.56,0.11,-0.11,5106.0,0.795,0.07051282051282051
TOI-1438 b,TOI-1438,2025,Transit,5.13967,3.04,0.19,-0.19,5230.0,0.82,0.0625
K2-15 b,K2-15,2015,Transit,11.8104,2.48,0.3,-0.3,5131.0,0.68,0.12096774193548386
Kepler-377 b,Kepler-377,2014,Transit,12.509529,1.39,0.27,-0.27,5949.0,1.224,0.19424460431654678
Kepler-54 d,Kepler-54,2014,Transit,20.995694,1.53,0.08,-0.08,4252.0,0.554,0.05228758169934641
K2-136 c,K2-136,2017,Transit,17.30723,3.0,0.13,-0.13,4500.0,0.677,0.043333333333333335
Kepler-983 b,Kepler-983,2016,Transit,60.0855082,2.36,0.07,-0.18,6052.0,1.08,0.07627118644067797
Kepler-887 b,Kepler-887,2016,Transit,20.42228798,1.84,0.27,-0.17,6194.0,1.29,0.14673913043478262
K2-50 b,K2-50,2016,Transit,8.7529,1.59,0.24,-0.24,4326.0,0.546,0.1509433962264151
Kepler-196 c,Kepler-196,2014,Transit,47.427737,2.24,0.17,-0.17,5128.0,0.782,0.07589285714285714
Kepler-321 c,Kepler-321,2014,Transit,13.093921,2.32,0.45,-0.45,5740.0,1.194,0.19396551724137934
