pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_radeerr1,pl_radeerr2,st_teff,st_rad
Kepler-1581 b,Kepler-1581,2016,Transit,6.28385491,0.8,0.14,-0.09,6022.0,1.23
TOI-206 b,TOI-206,2022,Transit,0.7363104,1.3,0.05,-0.05,3383.0,0.35
EPIC 212587672 b,EPIC 212587672,2019,Transit,15.28078,1.26,0.11,-0.09,6004.0,0.98
Kepler-1403 b,Kepler-1403,2016,Transit,5.19492202,2.14,0.54,-0.26,6060.0,1.15
TOI-707 b,TOI-707,2026,Transit,52.79918,2.416,0.098,-0.098,5424.0,0.978
Kepler-546 b,Kepler-546,2016,Transit,4.147020258,7.0,1.93,-0.77,5967.0,1.15
Kepler-299 d,Kepler-299,2014,Transit,15.054786,1.86,0.38,-0.38,5617.0,1.032
GJ 3929 b,GJ 3929,2022,Transit,2.616235,1.09,0.04,-0.04,3384.0,0.32
TOI-283 b,TOI-283,2025,Transit,17.61745,2.34,0.09,-0.09,5213.0,0.85
TOI-205 b,TOI-205,2026,Transit,4.25300773815,2.50121142,0.23968778,-0.21681012,6302.74,1.45382
Kepler-236 b,Kepler-236,2014,Transit,8.295611,1.57,0.12,-0.12,3750.0,0.51
Kepler-310 b,Kepler-310,2014,Transit,13.930698,1.19,0.56,-0.56,5797.0,0.876
Kepler-1886 b,Kepler-1886,2021,Transit,24.2758007,2.58158428,,,5745.0,0.837
HD 3167 c,HD 3167,2016,Transit,29.846511,2.983,0.083,-0.068,5338.0,0.871
HAT-P-49 b,HAT-P-49,2014,Transit,2.69155,17.82231,2.01762,-2.01762,6820.0,2.06
TOI-6019 b,TOI-6019,2026,Transit,14.547952,12.3,0.3,-0.3,5561.0,2.02
Kepler-522 b,Kepler-522,2016,Transit,38.58422849,6.91,1.5,-1.21,6392.0,1.98
Kepler-1467 b,Kepler-1467,2016,Transit,47.0569043,3.3,0.31,-0.25,5332.0,0.82
Kepler-758 c,Kepler-758,2016,Transit,4.75793986,1.69,0.37,-0.29,6228.0,1.42
Kepler-19 b,Kepler-19,2011,Transit,9.28699,2.209,0.048,-0.048,5541.0,0.859
Kepler-1102 b,Kepler-1102,2016,Transit,51.3285623,2.66,0.53,-0.23,5724.0,0.94
HD 110067 c,HD 110067,2023,Transit,13.673694,2.388,0.036,-0.036,5266.0,0.788
Kepler-617 b,Kepler-617,2016,Transit,1.682696148,1.32,0.07,-0.07,3712.0,0.48
Kepler-371 c,Kepler-371,2014,Transit,67.968015,1.78,0.45,-0.45,5666.0,0.992
Kepler-265 e,Kepler-265,2014,Transit,67.831024,2.59,0.55,-0.55,5835.0,1.103
Kepler-1610 c,Kepler-1610,2023,Transit,44.9851885,2.09,0.35,-0.21,5295.0,0.8
Qatar-2 b,Qatar-2,2011,Transit,1.33711647,14.056,0.146,-0.146,4645.0,0.776
K2-338 b,K2-338,2021,Transit,3.850614,1.03,0.11,-0.05,4558.0,0.63
TOI-286 b,TOI-286,2024,Transit,4.5117244,1.42,0.1,-0.1,5152.0,0.78
Kepler-750 c,Kepler-750,2016,Transit,4.08899022,1.62,0.65,-0.22,6160.0,1.23
Kepler-282 b,Kepler-282,2014,Transit,9.220524,1.01,0.25,-0.25,5602.0,0.904
Kepler-278 c,Kepler-278,2014,Transit,51.111,3.268,0.067,-0.067,4965.0,2.861
Kepler-1248 b,Kepler-1248,2016,Transit,7.46725407,1.18,0.2,-0.11,6149.0,1.21
K2-275 b,K2-275,2018,Transit,3.2809626,2.34,0.25,-0.27,4841.0,0.69
Kepler-267 c,Kepler-267,2014,Transit,6.87745,2.13,0.11,-0.11,4258.0,0.555
K2-86 b,K2-86,2016,Transit,8.77683,1.96,0.27,-0.27,5482.0,0.76
Kepler-377 c,Kepler-377,2014,Transit,27.014976,2.06,0.39,-0.39,5949.0,1.224
K2-195 c,K2-195,2018,Transit,28.482786,2.57581891,0.27157754,-0.14909276,5712.0,0.906367
HD 15906 b,HD 15906,2023,Transit,10.924709,2.24,0.08,-0.08,4757.0,0.762
K2-201 c,K2-201,2018,Transit,22.779878,3.28568401,0.39804812,-0.18385433,5507.0,0.878161
TOI-1279 b,TOI-1279,2024,Transit,9.61419,2.66146528,0.13795921,-0.10646515,5457.0,0.8426
K2-326 b,K2-326,2020,Transit,1.256,2.28,0.18,-0.18,3924.0,0.688
Kepler-606 b,Kepler-606,2016,Transit,24.31575992,3.31,1.27,-0.51,6161.0,1.22
Kepler-1575 b,Kepler-1575,2016,Transit,2.55314213,1.31,0.2,-0.13,5667.0,0.92
Kepler-729 b,Kepler-729,2016,Transit,3.166353714,3.58,0.42,-0.25,5633.0,0.91
Kepler-1995 b,Kepler-1995,2023,Transit,73.7578875,4.28,2.21,-0.66,5029.0,0.93
Kepler-1434 b,Kepler-1434,2016,Transit,8.05333618,1.11,0.21,-0.2,6291.0,2.04
Kepler-82 c,Kepler-82,2012,Transit,51.54,5.34,0.32,-0.13,5401.0,0.898
Kepler-1538 b,Kepler-1538,2016,Transit,175.138819,2.82,0.7,-0.31,5837.0,1.03
K2-187 b,K2-187,2018,Transit,0.77401,1.2,0.2,-0.2,5438.0,0.83
Kepler-464 b,Kepler-464,2016,Transit,7.256965224,3.3,0.16,-0.13,5933.0,1.59
Kepler-1782 b,Kepler-1782,2021,Transit,5.756229877,2.22927435,,,4931.0,0.734
Kepler-1580 b,Kepler-1580,2016,Transit,56.6449279,2.11,0.3,-0.31,6228.0,2.15
Kepler-198 d,Kepler-198,2016,Transit,1.31184443,1.53,0.09,-0.07,5636.0,0.93
Kepler-1737 b,Kepler-1737,2021,Transit,64.61750031,5.395,,,5043.0,0.881
TOI-1807 b,TOI-1807,2021,Transit,0.54937097,1.49681583,0.08089145,-0.06779467,4914.0,0.746
Kepler-134 c,Kepler-134,2014,Transit,10.105785,1.26,0.25,-0.25,5983.0,1.176
TOI-1860 b,TOI-1860,2022,Transit,1.0662107,1.31,0.04,-0.04,5752.0,0.94
Kepler-132 c,Kepler-132,2014,Transit,6.414914,1.28,0.25,-0.25,6003.0,1.178
Kepler-26 b,Kepler-26,2011,Transit,12.28,2.78,0.11,-0.11,3914.0,0.512
Kepler-1589 b,Kepler-1589,2016,Transit,0.991665274,1.09,0.44,-0.17,6166.0,1.25
