pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
55 Cnc B b,55 Cnc B,2025,Radial Velocity,6.7994,0.0,,,0.151,0.01101223,0.26,3286.0
KELT-20 b,KELT-20,2017,Transit,3.4741085,0.0,,,1.741,3.382,1.76,8720.0
Kepler-62 b,Kepler-62,2013,Transit,5.714932,0.0,,,0.117,0.03,0.69,4925.0
Kepler-987 b,Kepler-987,2016,Transit,105.3033148,0.0,,,0.29083772,0.0336,0.97,5637.0
Kepler-385 d,Kepler-385,2020,Transit,56.4159,0.0,,,0.23361984,0.0232,1.05,5829.0
HD 21520 b,HD 21520,2024,Transit,25.1292,0.0,,,0.24061064,0.05569043,1.09,5871.0
HD 28471 c,HD 28471,2025,Radial Velocity,6.1245,0.088,0.058,-0.054,0.201,0.01799713,0.98,5766.0
TOI-4641 b,TOI-4641,2023,Transit,22.09341,0.074,,,0.73,3.87,1.41,6560.0
WASP-107 c,WASP-107,2020,Radial Velocity,1066.0,0.27,0.08,-0.08,1.16,0.35,0.683,4425.0
Kepler-49 b,Kepler-49,2012,Transit,7.2,0.0,,,0.23008337,0.03073986,0.607,4095.6
Kepler-115 c,Kepler-115,2014,Transit,8.990889,0.0,,,0.232,0.0229,1.042,5979.0
ome Ser b,ome Ser,2013,Radial Velocity,278.59,0.18,0.066,-0.127,1.25,0.736,1.01,4724.0
Kepler-79 b,Kepler-79,2012,Transit,13.48451,0.022,0.01,-0.007,0.31314176,0.02391227,1.244,6389.0
Kepler-777 b,Kepler-777,2016,Transit,5.72812599,0.0,,,0.13114462,0.00869,0.58,4043.0
CoRoT-2 b,CoRoT-2,2008,Transit,1.7429935,0.0143,0.0077,-0.0076,1.466,3.47,0.96,5625.0
TYC 1422-614-1 b,TYC 1422-614-1,2014,Radial Velocity,198.4,0.06,0.06,-0.02,1.18,2.5,1.15,4806.0
TOI-2120 b,TOI-2120,2024,Transit,5.7998164,0.32,0.08,-0.08,0.18931249,0.02139519,0.211,3131.0
Kepler-265 b,Kepler-265,2014,Transit,6.846262,0.0,,,0.166,0.013,0.97,5835.0
Kepler-1384 b,Kepler-1384,2016,Transit,15.36262753,0.0,,,0.17307521,0.0139,0.78,4919.0
Kepler-343 b,Kepler-343,2014,Transit,8.96855,0.0,,,0.215,0.0201,1.055,5807.0
Kepler-1257 b,Kepler-1257,2016,Transit,2.668313762,0.0,,,0.13560532,0.0092,0.9,5502.0
TOI-4010 c,TOI-4010,2023,Transit,5.414654,0.03,0.03,-0.02,0.52904008,0.06390241,0.88,4960.0
HD 94890 c,HD 94890,2025,Radial Velocity,2492.19,0.05,0.03,-0.03,1.12,8.91,1.74,4867.0
Kepler-967 c,Kepler-967,2016,Transit,198.7112502,0.0,,,0.32563119,0.0407,0.84,5178.0
Kepler-100 c,Kepler-100,2014,Transit,12.8159,0.02,0.15,-0.01,0.196,0.02218167,1.08,5825.0
TOI-700 b,TOI-700,2020,Transit,9.977219,0.075,0.093,-0.054,0.08154176,0.00222,0.415,3459.0
HD 104067 b,HD 104067,2011,Radial Velocity,55.851,0.123,0.048,-0.051,0.82,0.19538845,0.82,4952.0
Kepler-1260 b,Kepler-1260,2016,Transit,19.1187753,0.0,,,0.15790882,0.0119,1.06,5961.0
Kepler-11 f,Kepler-11,2010,Transit,46.6888,0.013,0.011,-0.009,0.222,0.006,0.961,5663.0
Kepler-1960 b,Kepler-1960,2021,Transit,2.297940016,0.0,,,0.11664727,0.00712,1.117,6371.0
Kepler-1252 b,Kepler-1252,2016,Transit,15.0540329,0.0,,,0.14898742,0.0108,1.06,5949.0
Kepler-217 d,Kepler-217,2016,Transit,3.88689525,0.0,,,0.11776251,0.00724,1.37,6341.0
Kepler-1007 b,Kepler-1007,2016,Transit,5.185002073,0.0,,,0.1284682,0.00839,0.73,4587.0
Kepler-659 b,Kepler-659,2016,Transit,17.671796,0.0,,,0.22303506,0.0214,0.79,4870.0
HD 12661 b,HD 12661,2000,Radial Velocity,262.70862,0.38,0.01,-0.01,1.18,2.43,1.2,5645.0
Kepler-305 d,Kepler-305,2014,Transit,16.74,0.0,,,0.24623113,0.01950738,0.827,5090.0
Kepler-609 b,Kepler-609,2016,Transit,6.521210666,0.0,,,0.29886698,0.0352,1.09,5971.0
HD 40956 b,HD 40956,2017,Radial Velocity,578.6,0.24,0.05,-0.05,1.18,2.7,2.0,4869.0
GJ 27.1 b,GJ 27.1,2014,Radial Velocity,15.819,0.08,0.18,-0.08,0.327,0.04090237,0.53,3542.0
Kepler-794 b,Kepler-794,2016,Transit,11.13125132,0.0,,,0.18824159,0.016,1.19,5839.0
Kepler-218 c,Kepler-218,2014,Transit,44.699576,0.0,,,0.28,0.0315,1.019,5502.0
TOI-4495 c,TOI-4495,2024,Transit,5.18553,0.023,0.043,-0.016,0.35953314,0.07299536,1.247,6210.0
Kepler-1666 b,Kepler-1666,2020,Transit,25.8476,0.0,,,0.25718064,0.0273,1.23,6293.0
Kepler-798 b,Kepler-798,2016,Transit,13.71933369,0.0,,,0.21322152,0.0198,1.19,6224.0
GJ 3470 b,GJ 3470,2012,Radial Velocity,3.3366496,0.017,0.016,-0.012,0.40770809,0.04373407,0.539,3600.0
Kepler-392 b,Kepler-392,2014,Transit,5.341853,0.0,,,0.089,0.00306,0.874,5938.0
HD 183263 b,HD 183263,2004,Radial Velocity,624.87404,0.383,0.007,-0.007,1.17,3.471,1.06,5948.0
K2-136 b,K2-136,2017,Transit,7.97525,0.14,0.12,-0.11,0.09046318,0.01352931,0.742,4500.0
HD 107148 b,HD 107148,2005,Radial Velocity,48.056,0.05,0.17,-0.17,0.856,0.21,1.12,5797.0
Kepler-1514 b,Kepler-1514,2016,Transit,217.83184,0.401,0.013,-0.014,1.108,5.28,1.196,6145.0
Kepler-1837 b,Kepler-1837,2021,Transit,5.906089783,0.0,,,0.18438237,0.0155,1.049,5966.0
Kepler-1986 b,Kepler-1986,2023,Transit,19.5489666,0.0,,,0.1686148,0.0133,0.776,5549.0
Kepler-114 c,Kepler-114,2013,Transit,8.041,0.0,,,0.143,0.009,0.56,4660.0
Kepler-20 c,Kepler-20,2011,Transit,10.8540774,0.076,,,0.25818583,0.03492451,0.929,5495.0
Kepler-1093 c,Kepler-1093,2016,Transit,89.722292,0.0,,,0.17485949,0.0142,1.13,6166.0
Kepler-934 b,Kepler-934,2016,Transit,55.6738309,0.0,,,0.18645731,0.0158,0.81,5001.0
Kepler-946 b,Kepler-946,2016,Transit,11.79162572,0.0,,,0.17218307,0.0138,0.94,5665.0
Kepler-696 b,Kepler-696,2016,Transit,4.190425575,0.0,,,0.54777411,0.0984,1.06,5903.0
Kepler-1448 b,Kepler-1448,2016,Transit,12.27065865,0.0,,,0.14363458,0.0101,0.95,5774.0
TOI-4551 b,TOI-4551,2023,Transit,9.95581,0.101,0.034,-0.033,1.058,1.49,1.31,4896.0
Kepler-189 c,Kepler-189,2014,Transit,20.134866,0.0,,,0.212,0.071,0.803,5235.0
HD 46375 b,HD 46375,2000,Radial Velocity,3.023573,0.063,0.026,-0.026,0.894,0.226,0.92,5285.0
HD 95872 b,HD 95872,2015,Radial Velocity,4375.0,0.06,0.04,-0.04,1.16,3.74,0.7,5312.0
Kepler-1754 b,Kepler-1754,2021,Transit,8.195949554,0.0,,,0.21767948,0.0205,0.734,4723.0
TIC 4672985 b,TIC 4672985,2024,Transit,69.048,0.018,0.004,-0.004,1.026,12.74,1.01,5757.0
K2-100 b,K2-100,2016,Transit,1.6739035,0.0,,,0.34615101,0.06859047,1.15,5945.0
Kepler-1387 b,Kepler-1387,2016,Transit,2.279526656,0.0,,,0.08296904,0.00236,0.82,5046.0
Kepler-1412 b,Kepler-1412,2016,Transit,3.6146051,0.0,,,0.07404764,0.00157,1.06,5880.0
Kepler-1222 b,Kepler-1222,2016,Transit,1.916944254,0.0,,,0.07047908,0.00131,0.84,5239.0
Kepler-760 c,Kepler-760,2016,Transit,2.46697439,0.0,,,0.13203676,0.00879,0.89,5322.0
Kepler-463 b,Kepler-463,2016,Transit,8.981016833,0.0,,,0.27210277,0.03,0.87,5661.0
Kepler-186 d,Kepler-186,2014,Transit,13.342996,0.0,,,0.125,0.008,0.478,3788.0
