u_g_approx,g_r_approx,pixel_x,pixel_y,class
-0.014260752688172396,0.37889937106918237,379,241,QSO
0.010215053763440896,0.37889937106918237,382,241,QSO
0.03469086021505374,0.37889937106918237,385,241,QSO
0.09995967741935496,0.37889937106918237,393,241,QSO
0.12443548387096781,0.37889937106918237,396,241,QSO
0.14891129032258066,0.37889937106918237,399,241,QSO
0.1897043010752686,0.37889937106918237,404,241,QSO
0.21418010752688144,0.37889937106918237,407,241,QSO
0.23865591397849473,0.37889937106918237,410,241,QSO
0.3202419354838706,0.37889937106918237,420,241,QSO
0.3447177419354839,0.37889937106918237,423,241,QSO
0.3691935483870967,0.37889937106918237,426,241,QSO
0.3936693548387096,0.37889937106918237,429,241,QSO
0.41814516129032286,0.37889937106918237,432,241,QSO
0.48341397849462364,0.37889937106918237,440,241,QSO
0.5078897849462365,0.37889937106918237,443,241,QSO
0.5486827956989249,0.37889937106918237,448,241,QSO
0.8423924731182795,0.37889937106918237,484,241,QSO
1.674569892473118,0.37889937106918237,586,241,QSO
-0.006102150537634632,0.3694968553459119,380,242,QSO
0.01837365591397866,0.3694968553459119,383,242,QSO
0.042849462365591506,0.3694968553459119,386,242,QSO
0.09995967741935496,0.3694968553459119,393,242,QSO
0.12443548387096781,0.3694968553459119,396,242,QSO
0.16522849462365574,0.3694968553459119,401,242,QSO
0.1897043010752686,0.3694968553459119,404,242,QSO
0.21418010752688144,0.3694968553459119,407,242,QSO
0.23865591397849473,0.3694968553459119,410,242,QSO
0.2631317204301076,0.3694968553459119,413,242,QSO
0.2876075268817204,0.3694968553459119,416,242,QSO
0.3528763440860212,0.3694968553459119,424,242,QSO
0.3773521505376345,0.3694968553459119,427,242,QSO
0.40182795698924734,0.3694968553459119,430,242,QSO
0.4263037634408602,0.3694968553459119,433,242,QSO
0.45077956989247303,0.3694968553459119,436,242,QSO
0.4997311827956987,0.3694968553459119,442,242,QSO
0.5323655913978493,0.3694968553459119,446,242,QSO
0.5568413978494622,0.3694968553459119,449,242,QSO
0.8423924731182795,0.3694968553459119,484,242,QSO
0.9321370967741931,0.3694968553459119,495,242,QSO
1.674569892473118,0.3694968553459119,586,242,QSO
-0.006102150537634632,0.3600943396226415,380,243,QSO
0.01837365591397866,0.3600943396226415,383,243,QSO
0.042849462365591506,0.3600943396226415,386,243,QSO
0.0918010752688172,0.3600943396226415,392,243,QSO
0.11627688172043005,0.3600943396226415,395,243,QSO
0.1733870967741935,0.3600943396226415,402,243,QSO
0.19786290322580635,0.3600943396226415,405,243,QSO
0.2223387096774192,0.3600943396226415,408,243,QSO
0.24681451612903205,0.3600943396226415,411,243,QSO
0.2712903225806449,0.3600943396226415,414,243,QSO
0.29576612903225774,0.3600943396226415,417,243,QSO
0.3202419354838706,0.3600943396226415,420,243,QSO
0.3447177419354839,0.3600943396226415,423,243,QSO
0.38551075268817225,0.3600943396226415,428,243,QSO
