wavelength_A,flux,error
8329.255570807878,1.2272380377556513e-12,2.757313107153744e-15
8353.676315949033,1.221966321532375e-12,2.7564118640978656e-15
8363.444532861968,1.179200725780205e-12,2.7123669978735892e-15
8368.32862347286,1.152684393247727e-12,2.6806979182834086e-15
8392.748893495225,1.1364692823964684e-12,2.669097590312524e-15
8397.632910092456,1.1387718025501758e-12,2.6731673718658443e-15
8402.516913953677,1.1335703426276766e-12,2.659706112509842e-15
8407.400904964503,1.1493833228931605e-12,2.6907530464002644e-15
8412.28488301054,1.1578083327148936e-12,2.705581416933135e-15
8417.168847977404,1.1683941574663903e-12,2.7076047668858887e-15
8426.936738216093,1.2065330288676956e-12,2.8792958041954936e-15
8446.472356710798,1.184998822158223e-12,2.738575679569295e-15
8461.123925244425,1.0995337669864047e-12,2.6378918377444917e-15
8466.00775312907,1.0888623986834989e-12,2.6255435796811817e-15
8475.775365772412,1.1065126679504766e-12,2.6503199286630804e-15
8480.659150302416,1.1209521809038558e-12,2.666748767949788e-15
8485.54292015219,1.1453530181573801e-12,2.693070740302189e-15
8490.426675207398,1.1609782146065895e-12,2.7110399090034785e-15
8495.310415353704,1.1740649685093585e-12,2.7302853445980435e-15
8500.19414047678,1.182329624829781e-12,2.746732606851354e-15
8505.077850462303,1.1881239265001953e-12,2.747864031110649e-15
8524.612536742437,1.1706756440979516e-12,2.7375973565152163e-15
8529.496169325415,1.1394755581803362e-12,2.6966803712069132e-15
8539.263386906767,1.0694815259087997e-12,2.604486128854203e-15
8544.14697167654,1.0498019554355809e-12,2.5817540938905025e-15
8563.681147949495,1.0959521051095988e-12,2.642102438525293e-15
8695.529514309275,1.0304182637352333e-12,2.573355973976713e-15
8700.412525088996,1.0499998223320595e-12,2.5890932108619874e-15
8715.061438042174,1.1235970921036342e-12,2.6774177831951664e-15
8719.944368850744,1.0999175745554646e-12,2.648923383091295e-15
8724.827279381167,1.0600673984451081e-12,2.5989446275550285e-15
8739.47588816222,9.67988601600911e-13,2.48597203173146e-15
8749.241523866498,9.49666452247644e-13,2.4641905794928155e-15
8754.124310331363,9.44911358359557e-13,2.460240441343295e-15
8759.007075719232,9.507172609932169e-13,2.465379390234287e-15
8763.889819916007,9.821355968081535e-13,2.504399445257214e-15
8773.655244279895,1.0442011838529552e-12,2.5854079822667207e-15
8788.303219040266,1.0526029917481972e-12,2.5933696684544375e-15
8798.068426359323,1.0139605084377723e-12,2.6672324237626702e-15
8802.950996920295,9.966085031884453e-13,2.533407570843595e-15
8807.833545263487,9.85696116742596e-13,2.634375803980439e-15
8812.71607127485,9.652825413986044e-13,2.4914667344602985e-15
8817.598574840338,9.75035156780546e-13,2.6220144169064466e-15
8827.363514177528,9.736029257106926e-13,2.500111340961739e-15
8837.128362362806,9.559009400000873e-13,2.486378607546142e-15
8846.893118483998,9.33968614252878e-13,2.45809024820669e-15
8851.775461735533,9.310099349443823e-13,2.4539291988533033e-15
8856.657781629021,9.407177727766003e-13,2.4685534344458856e-15
