transit_number,depth_ppm,quarter,parity
478,6326.740038778867,12,even
479,1198.3005281829273,12,odd
482,5523.4763188734,13,even
484,6184.219631660825,13,even
485,4582.453410735377,13,odd
486,6429.2003900692225,13,even
487,5790.809902786021,13,odd
488,724.7593213843828,13,even
489,5598.451421085393,13,odd
490,5816.391469751991,13,even
491,5627.354866286627,13,odd
492,6233.364802179286,13,even
493,6681.756272676198,13,odd
494,4692.5410763435375,13,even
495,5910.397519233723,13,odd
496,6497.4696446301605,13,even
497,5735.54875084481,13,odd
498,5940.201286572577,13,even
499,5941.318927847883,13,odd
500,5829.710028281698,13,even
501,5470.326267118852,13,odd
502,4268.644577128611,13,even
503,6031.50636963945,13,odd
504,3120.2681668476284,13,even
505,4265.105379757106,13,odd
506,3877.687449940881,13,even
507,5625.678404373335,13,odd
508,6374.622241129724,13,even
509,5803.818005405969,13,odd
511,5340.245240920472,13,odd
512,3896.159576573188,13,even
513,3278.6938176089243,13,odd
514,1352.0044415064046,13,even
515,5660.542603041718,13,odd
516,3625.9697982903294,13,even
517,5447.135210658316,13,odd
518,124.80327573194394,13,even
519,510.0790597705185,13,odd
521,6589.519821880274,13,odd
522,6621.652008542811,13,even
523,4363.132059484576,14,odd
524,4178.580094251094,14,even
526,5577.536064503841,14,even
527,3089.8970786483737,14,odd
528,2948.522958152733,14,even
529,4697.148179296118,14,odd
533,4375.0656346637215,14,odd
534,3916.382399607121,14,even
535,5669.595073026446,14,odd
536,3381.5722537990923,14,even
538,2809.5975452915313,14,even
539,108.92099526882416,14,odd
540,4021.614835275078,14,even
541,3635.7109106600615,14,odd
542,2994.55246241398,14,even
543,4065.4126059964656,14,odd
544,5711.502069498775,14,even
545,1428.030498870525,14,odd
546,3331.8541899372,14,even
547,3093.740619744989,14,odd
548,2696.6470311310386,14,even
549,5438.269692351838,14,odd
550,2163.634670674819,14,even
551,6542.6988279307925,14,odd
552,2916.565773712909,14,even
553,2379.120942476054,14,odd
554,3831.235565798119,14,even
555,5646.936778336387,14,odd
556,3168.410704435409,14,even
557,587.5348506888533,14,odd
558,4765.80498194834,14,even
559,4208.026578458645,14,odd
560,3950.664306484386,14,even
561,1753.7706068045943,14,odd
562,2906.770943176706,14,even
563,4029.704869357609,14,odd
564,1646.3064375965564,14,even
565,1374.9958309979827,14,odd
566,3010.701534279514,14,even
571,3266.0587468090753,15,odd
572,2932.719177426213,15,even
584,2765.6467338978973,15,even
585,686.8120806075018,15,odd
589,0.3097375669280922,15,odd
591,-6.03988255232224,15,odd
592,2872.1345093615237,15,even
593,1237.1537892862384,15,odd
594,102.70897714881322,15,even
595,765.5473700867166,15,odd
598,12.327555158453407,15,even
599,2171.8178708416413,15,odd
600,2115.0429748485467,15,even
602,79.85034471924557,15,even
603,3009.286303937486,15,odd
604,1019.6250961269637,15,even
605,-8.548756843529404,15,odd
606,626.9088351900099,15,even
607,85.33269965149692,15,odd
608,447.6017577731417,15,even
609,92.3017949043814,15,odd
610,14.898376962779736,15,even
611,3540.734021041603,15,odd
612,4494.075277874932,15,even
613,1436.033887971977,16,odd
614,25.346618825139444,16,even
621,46.85006800897451,16,odd
