wavelength_A,flux,error
5099.771763516332,1.3984561604771782e-15,3.782875612217307e-17
5102.516561080099,1.4036742010696199e-15,3.778347625544192e-17
5105.261333153085,1.4659627805492146e-15,3.854145493794876e-17
5108.006079671963,1.4466808166587993e-15,3.827909640870409e-17
5110.750800573406,1.3440478461432454e-15,3.728825314887377e-17
5113.4954957941,1.4638220106541477e-15,3.8463114316495087e-17
5116.240165270734,1.4375728831352106e-15,3.8185095603893564e-17
5118.98480894,1.425028219307256e-15,3.797336052813714e-17
5127.218584470639,1.5612525048076657e-15,3.943094872040663e-17
5129.963124277507,1.5008423267677258e-15,3.881263121252324e-17
5132.707637960572,1.4466349710005291e-15,3.827130767605629e-17
5135.452125456566,1.4626600932087517e-15,3.8360626638599766e-17
5138.196586702224,1.459336124165489e-15,3.828085334032515e-17
5140.941021634291,1.444473554677373e-15,3.822531643399834e-17
5146.429812304652,1.3936567659189169e-15,3.761382812925219e-17
5151.9184969617145,1.489855674167127e-15,3.8748842352405604e-17
5157.4070750996425,1.5645311575882503e-15,3.9385275115703903e-17
5162.895546212701,1.7511716911421831e-15,4.1182801452508186e-17
5168.383909795252,1.7594748374867618e-15,4.1440504609265407e-17
5173.872165341759,1.950216916329537e-15,4.3295053468776645e-17
5176.616252443542,1.910403826709743e-15,4.2800260496127026e-17
5179.360312346783,2.043387999428668e-15,4.4131938564276145e-17
5184.848350304988,1.9132170348858113e-15,4.288350464425191e-17
5193.080201674334,1.6214075141722452e-15,4.1487134434756246e-17
5195.824097060098,1.6824195091212093e-15,4.377902030156917e-17
5206.799401566425,1.7549750808335918e-15,4.149325557128914e-17
5209.543158118275,1.6756488571364504e-15,4.0721820314577284e-17
5223.261520274524,1.5460390519211496e-15,3.940224555315104e-17
5226.005108143656,1.4833303440997168e-15,3.881400102361763e-17
5228.748667678269,1.4268945505274125e-15,3.820409097948023e-17
5231.492198815322,1.4313011335563845e-15,3.824805728339865e-17
5236.979175644572,1.4433152371220027e-15,3.844069110445e-17
5250.696116348233,1.5120990769993802e-15,3.913968519183691e-17
