source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,ruwe
64974338270788864,56.30068677483327,23.36456659754402,7.400842842890291,0.05960634,20.3498907854033,0.07312076,-45.84120467577862,0.046997488,16.11487,2.8657188,1.050245
64989490915460608,57.04583326091851,23.506811183809983,7.318953310037485,0.019202262,19.7071210125859,0.020182494,-44.53956232297974,0.0153440535,13.712051,1.8174419,1.0550884
65007942094880640,56.68706288706285,23.61855310239428,6.979594312588576,0.10834564,17.61389994130911,0.11596043,-42.46448426735965,0.087785885,17.557415,3.5812302,1.0325537
65032745528876032,55.84406564335385,23.01552842209953,7.26127120230344,0.23625676,21.36355192158686,0.2595412,-46.7439004056883,0.17464064,18.49076,3.7325478,1.1247672
65164171528305792,56.34254222359188,23.47151034941984,7.307413485207008,0.014412273,20.223885800497985,0.018050222,-44.65017753769459,0.012163093,12.190561,1.3070021,0.9438896
65196405259884544,56.24422047135836,23.927876856061392,7.274297226962083,0.050903227,21.06580795418214,0.057706937,-45.62513939192596,0.043250028,16.095974,2.8608084,1.1529555
65203758244032512,56.59257354759629,23.87793117845342,7.1116603531842495,0.07202958,19.385201134094537,0.07009145,-43.29755614690463,0.05413867,16.309023,3.1592731,1.1299676
65209079706818176,56.79446914566682,23.9710528362226,7.670823942297688,0.27765733,21.065365252833168,0.30617252,-44.3025249435811,0.20574583,18.457373,3.5176182,0.8724217
65263097511969792,55.79855132706159,24.1144320201991,7.293955605946162,0.107664876,20.25602380241091,0.12920107,-45.77238477763018,0.09057534,17.451342,3.3752003,1.1470174
65267078945207296,56.23900505450959,23.99217866658556,7.50643101758092,0.043221835,20.60871484892701,0.04795407,-44.771864233714425,0.036534533,15.717465,2.7110186,1.131965
66453490649681280,57.43146835788807,23.711649593760512,7.46248486399861,0.047006264,17.868504681193286,0.06291408,-45.57243824211501,0.03209943,6.1591687,-0.049655914,1.0356296
66500357332812672,57.32779678067643,23.780090182372557,3.326174757519345,0.079787984,18.343035311566048,0.106701225,-41.88434716874988,0.06486696,17.016092,2.5356865,1.0197003
66521179334108928,57.124052826324814,23.96812762181643,7.245161749059522,0.09243491,19.513016268459427,0.11273302,-44.30200784877972,0.077240005,17.046577,3.0933533,1.0028831
66560349435890176,57.6379095792957,24.33920630856396,7.624237364113361,0.06600861,19.40940981399628,0.064616024,-46.91155574344629,0.046411615,16.40082,2.8872976,1.0213555
66657617556363776,57.85145696438065,24.535466685934043,3.2406815233711166,0.21389507,13.153866871779854,0.29738957,-35.55363871514656,0.18035208,18.552645,2.7433014,1.029489
66659408560406528,57.91303365598468,24.591264585269958,7.351766950892662,0.06404901,19.755724092916576,0.08618859,-44.265570209454935,0.052213956,16.571566,2.9861336,1.0390334
66720534534913792,57.1294732995043,24.28127310517841,7.341192082208167,0.029249312,20.55980824986601,0.037314743,-46.52895034490698,0.024031108,14.94409,2.4508772,1.0710096
66730601936067072,56.84287803292823,24.283136549118414,7.487082766346878,0.209557,20.717703183233446,0.285132,-47.496610620059016,0.1681572,18.383253,3.573637,1.030738
66752042414936704,57.365254679183145,24.53152918709479,6.868676362419624,0.029826267,21.11976874320004,0.033552792,-43.83470100318672,0.019311335,14.890118,2.5076437,1.048202
66755959425257856,57.57598217276832,24.58746632894919,7.546025078304683,0.08160137,19.59404308135298,0.091878645,-46.28803083358288,0.06172738,16.821295,3.003501,0.9516909
66761903659793152,57.48251419167079,24.741904532006497,7.531095617508779,0.029123874,20.01171871162373,0.036420576,-45.628015653581286,0.02294662,15.173774,2.5507517,1.0768366
66802276352348416,56.30003774761142,24.585988634934,7.521436338801172,0.020496517,20.809393414603463,0.03309192,-44.70206664623241,0.017603824,13.399992,1.7045574,1.0836426
66811450402457216,56.585399836649145,24.785282982842787,7.454756179233914,0.016104769,18.583779121327936,0.019467436,-45.18087140683727,0.014230603,13.337562,1.6946535,1.0836929
66816295125702144,56.8904124483072,24.683996791687623,7.422158629100373,0.013427517,19.58248325893324,0.015437465,-46.27140917710216,0.011355215,12.540388,1.4014874,0.990435
66821655244731264,56.84583318282619,24.848752048434623,7.761479927581554,0.040834583,20.80852597315821,0.045931738,-47.429280642913454,0.030363359,15.617148,2.7824202,1.0696015
66823132713476480,56.899529478888994,24.873965156738212,7.429236579015259,0.09306064,20.359214900915827,0.10082453,-44.68201751202432,0.06692294,16.87391,3.0793123,1.0942961
66878245735176704,57.62492811642301,25.05172731020767,6.936834522963423,0.039600275,18.71670636605301,0.05510507,-44.11610857624101,0.025922276,15.398036,2.559164,1.0809911
69807963184755840,56.25481939508828,24.777907828400757,7.4811645664167425,0.06247579,20.69991043384025,0.081224546,-46.87193783784339,0.05153441,16.527004,2.989872,1.0551254
69876923179646080,55.95194192919897,25.043404964099803,7.201589805683961,0.058217473,19.278146177105445,0.07573463,-46.133960498251554,0.05446726,15.993855,3.0450907,1.3087212
69954713627862528,56.89678892561737,25.543758791701837,6.764412874641352,0.026262946,18.625214309118213,0.035664406,-42.80981941168463,0.020300217,13.986233,1.9626875,1.2456479
64160940185240064,57.57335850579678,22.932883365855528,7.173085965990723,0.1056444,18.971190164122525,0.12312416,-42.77271008412554,0.08016963,17.563309,3.4512691,1.054534
64856312568645248,56.52195568292751,22.98141924341321,7.602128024288136,0.018777581,20.51428366127649,0.020303842,-47.91048805067051,0.014524859,13.413954,1.7675371,1.0812526
64858133634790144,56.35204147618182,22.940212632280904,3.366667120992562,0.11497364,18.723958595405037,0.1220465,-35.53881261748932,0.08636777,17.555489,2.6465054,1.0072355
64889126119831040,57.09446293092488,22.872477336102374,7.617353781069092,0.03413077,20.539052849387254,0.044744853,-46.74773678544327,0.027145123,15.062484,2.4895353,1.1173615
64923279699744256,57.25981898022836,23.25223911265763,7.266831729278644,0.020944558,19.730996700492646,0.02427146,-44.42819858102819,0.01704622,11.473286,1.0477657,1.1447881
64960285137896448,56.74102351161887,23.212687031094,3.599904005787557,0.07155602,27.72141727819781,0.08681262,-47.97121214427325,0.061370533,16.645393,2.384534,0.946373
64962174923490304,56.88419556070246,23.30633191106529,7.339722266111578,0.06421835,20.729001925708243,0.072896786,-45.43158657295105,0.054036416,16.41158,2.891183,1.0396391
64963377514329984,56.84184912038183,23.359958000577212,7.456198708615304,0.06880964,21.312007944847327,0.081965916,-44.50127002300362,0.058664735,16.68825,3.053584,0.9374413
64980832261312640,56.70879817515686,23.53208141913091,7.435614097188134,0.04823119,20.87945193664808,0.056650817,-45.02175262335697,0.04124148,16.288599,2.929678,0.9718782
65000417312240896,57.04676066618868,23.66195219778092,7.279935854079413,0.077106945,19.68836366974725,0.080837674,-45.0455575658892,0.05923068,15.7003355,2.3947048,1.0621207
65005262035285888,56.76583191330965,23.61611499254201,7.209191094463601,0.022680594,20.780047946237534,0.024606442,-44.242085995364654,0.017609062,14.2646475,2.4753046,1.1201135
65007083101413888,56.86189019777351,23.678126852419386,7.472988365635405,0.031553023,21.72387551654079,0.03369307,-45.70969458878078,0.026485171,7.7467694,0.21737766,1.009509
65086591535491584,56.00257297938471,23.543743984874723,7.297531268657663,0.015349895,19.55870683741184,0.021816893,-44.75242968274938,0.013080624,10.823086,0.98379326,1.1061329
65089473457126784,55.9526140176657,23.539193471582006,7.241582954749215,0.015352061,21.483314424987046,0.021675624,-44.38909546773306,0.013233407,13.418813,1.7170792,1.0401119
65181115176348544,56.06865698054384,23.61763077488844,7.450890340933603,0.03957465,22.5414303663053,0.055310197,-47.5949810700541,0.03543539,15.794596,2.9484844,1.036575
65213172812266752,56.74283055817035,24.02799565347156,7.449628020763334,0.09741063,19.21160134809856,0.115643784,-43.36324766229127,0.08165107,17.144829,3.16395,0.95862824
65225469302220800,56.71438897122719,24.10432284781211,7.422710671658224,0.14431289,21.454720070774023,0.17788406,-45.221757813240025,0.12358278,17.444145,3.2574387,1.0897739
65293368441513344,56.07404213069598,24.446187902212245,7.20733365805876,0.041400734,20.16911764248763,0.047521293,-44.66621639384996,0.035300583,15.395012,2.6234732,1.1538252
66468918172339328,57.89280600086858,23.797032725739253,7.242062708797047,0.08368073,19.108210218397662,0.096353956,-45.41617175629843,0.06129364,17.061905,3.0967865,0.96364164
66509771901085696,57.5519498137871,23.926474495876292,7.457034070158453,0.075219125,20.69247400212095,0.1003207,-45.6571137814936,0.059486613,16.25907,3.2133503,1.1878479
66523103479455744,57.1327139051166,24.0328031975566,7.143801387073776,0.07595504,18.53827523276147,0.099425465,-44.38353799103615,0.055569828,16.80336,3.041832,0.99710137
66551686483467904,57.49815604974855,24.19589894135323,7.205215857775971,0.117894374,19.92888791242963,0.1466905,-43.61824072889623,0.09805822,17.795551,3.351303,1.0355865
66659271121456768,57.891738387194295,24.568991301553485,7.421206266094838,0.06500095,20.34257441414748,0.09111916,-46.71852154545581,0.0529406,16.468485,2.9859047,1.1151683
66715273197982848,56.83070036887997,24.138920132623063,7.269312246192696,0.027773846,19.017069653993055,0.032082487,-43.92757068146416,0.02470716,8.243902,0.35392094,0.874114
66728089380492160,56.799503754015504,24.23144167346539,7.1911527684325165,0.16482066,19.07404745779211,0.2441829,-43.2991558599624,0.14097326,17.551449,3.3815842,1.2849022
66729674225341696,56.85469975761968,24.25462065234576,7.549568070174224,0.100397095,21.087168165577484,0.13427204,-46.02759270081887,0.079594396,17.056747,3.0545607,0.9836351
66750358787789056,57.177946533094,24.4552402956949,7.938158096015889,0.10993434,19.43070052995618,0.12290145,-47.815166188835946,0.08356862,17.649462,3.2462635,1.0535691
66786539592171392,56.60273991007824,24.47939883769473,7.320709076268946,0.06251443,20.307721821964204,0.09284854,-45.75159001135238,0.05471866,16.471231,2.893527,1.1160098
66802207632871808,56.31946543928191,24.57548111549109,7.666701713472894,0.037823208,20.82255034321436,0.051307898,-47.73125292623668,0.030625746,15.082205,2.545967,1.0978314
66808839062339712,56.68666506758425,24.74939162434088,7.382649848312971,0.09851447,20.16782120245168,0.11341955,-44.18388468038046,0.09406659,17.464863,3.2632523,1.030175
