SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,dist_pc
1872046574983497216,316.753662752556,38.75607277205679,286.0053518616485,0.028940246,5.4506445,1.7153406,3.4964380683468383
1944867161363844608,355.46130537787576,51.69846005537095,11.12263198074611,0.012471691,9.292081,0.74894524,89.90677761622025
1960587222705595648,327.0439121234095,42.160767513367645,13.775885185637332,0.014449516,8.46942,0.7509489,72.59061661188893
1962597885872344704,332.18806823721894,44.55676194444559,16.933586222871963,0.013424156,8.695546,0.8483372,59.05423616937762
1967282939282261120,321.473911355853,41.73628424685674,12.0768062954537,0.010155134,9.853745,0.8767328,82.80334846278431
1970482449404091136,321.6074417256796,43.11922100555984,12.883525782659133,0.015819112,8.171517,0.7098212,77.6185041944009
1976876384400300928,330.4336272951762,49.588118858512665,12.300106657338358,0.01596028,8.347718,0.67135143,81.30010802820078
1977653223715346688,326.1058160191353,46.862939266273244,22.049432298961978,0.016483113,6.511932,0.5495887,45.35264157558728
1989892471762844160,341.08220874452786,51.44993318064095,12.45751212271192,0.016967803,7.3762,0.7336974,80.27284983948356
1993352841010773248,355.32491750119095,53.73628259075728,10.327532588818219,0.012329553,8.612495,0.79759693,96.82854945262682
2002544895664562816,342.7444984307251,54.1418897193583,25.828559470083892,0.074746005,8.224978,1.053442,38.71683208497388
2004819544691279360,336.4689376756146,53.944651819005195,15.936122651483268,0.015990922,7.191867,0.555892,62.75052105644557
2008413057939006080,338.71081657801057,58.80190033158415,38.51536192339388,0.012478698,8.818648,1.3904724,25.96366618568912
2069600016724511104,310.18172104977856,43.350360116297615,12.337148088148,0.08137023,8.946042,0.8933029,81.05601009691014
2071474069883246336,307.7549598433591,46.777443859873905,13.200869799949498,0.016373964,7.998965,0.7434535,75.75258412167854
2079681679361530624,296.51394571674234,44.44512049035035,12.534772223585264,0.08587848,9.581216,0.90260696,79.77807511479251
2081722205447961088,304.0026276319744,45.57928128895278,29.28449291936389,0.022437342,5.7650576,0.5798731,34.14776560255091
2083943699973856768,307.20614743816424,48.861184423276086,12.981286603900646,0.014909362,7.459883,0.7061434,77.03396670246212
2086512227851023872,297.7102025682552,48.08189581073163,26.427393468347386,0.010761193,9.158262,1.269455,37.83952440098642
2089599450340243712,300.67384599387617,53.888849231276055,16.58815653044521,0.015794387,8.151193,0.85183144,60.283974181497605
2106674071344722688,284.059238556276,44.51838003138322,15.625260506779945,0.010475128,9.556875,0.9254637,63.998932982019134
2121458796183703424,275.1826671106067,47.087121223598814,13.016445298807355,0.014432333,8.723786,0.87283516,76.82589040585651
2124105423750810368,275.3019235824951,50.565411762080835,12.946808619142855,0.0113306,8.966729,0.78850365,77.2391119245729
2125017503005011840,271.079294176501,51.58789161774706,10.594285407181669,0.011771056,8.99778,0.7078619,94.39050974803064
2127730444871345408,289.5132995272211,46.68846684628713,14.205847764241739,0.010716806,9.702107,0.9685755,70.39354613648267
2131416557601850112,284.513923552442,47.1914538769619,18.942062112343624,0.02569366,8.515834,0.8698368,52.792562608500184
2132788541955849984,288.019487966497,49.85850904811307,39.58086000897815,0.0156534,6.3792667,0.8149748,25.264736536123
2137752046681839488,298.54521702846085,54.294810586333774,13.490647727236672,0.011976339,8.491296,0.7026825,74.12542527376726
2154119308050437504,280.82450745321313,57.818037133013455,12.041216885583484,0.013076334,7.507673,0.7237587,83.04808471619376
2163466668736799360,315.43316111173937,45.82165988384013,11.327126383305968,0.012812569,9.656028,0.88361835,88.28364460326054
2163808891730165888,314.1979641475327,46.78820406024832,10.796484736870818,0.010539431,9.631502,0.8532257,92.62274012067314
2164275119026100096,317.42965568973966,46.15869798129453,14.760098355340512,0.015347998,7.489572,0.6515374,67.75022604359403
2167218133679438080,313.3564889123194,48.26752465044908,10.26631894838188,0.017146576,7.3510103,0.28986216,97.40589641018454
2171670124979673088,322.2542430123988,51.248048275541215,12.146362968336932,0.012059421,9.965946,0.9513407,82.3291715064661
2173711437038708224,328.7500501288227,53.93599271596747,21.52358492007509,0.015785912,6.816694,0.6263156,46.460661814161725
2181962275369347968,307.7060629197757,53.75544686836954,14.77339589818836,0.010349013,9.62371,1.0153971,67.68924402294185
2183006914489715200,313.0582017741667,54.833849965217254,13.151020440703569,0.010798336,8.925037,0.7773552,76.03972668956636
2205798381785432960,333.1427372957497,63.041962761918356,10.169477915358419,0.009096852,9.773513,0.8370552,98.33346493527986
2215859394219354752,323.3300035615567,61.06239862389354,16.88605117468431,0.016513161,8.15365,0.73954296,59.22047669138935
2224981801671254912,341.3247828806962,68.02152177317842,11.152064381311822,0.026898837,8.981083,0.84206295,89.66949667863821
2234266765050547200,299.07962341837106,56.68708415808703,12.020660020789594,0.19835398,6.1495037,0.120399475,83.19010755403708
2238671924026029056,291.7040677275318,59.049927497602916,13.516076013674589,0.120071076,8.718669,0.7753916,73.98597040947922
2239863725909977856,289.9265831794488,60.85562076682422,11.270508139522086,0.012190026,9.476542,0.89363,88.72714411991046
2244314823859249664,301.3988197459452,63.705452004283636,13.81404292336744,0.013652289,9.196826,0.81559753,72.39010371890684
2250795753411429248,299.5584154212279,69.14099791240679,14.23851855735115,0.06813049,9.116465,0.8142338,70.23202561222311
2264954237657842176,293.46506845753794,74.09970534112992,12.404080034225018,0.012065057,9.590854,0.8215828,80.61863493631336
2274053830249193856,321.59691357784027,73.6647926002094,11.705433581626435,0.0106287645,9.082159,0.7551613,85.43041084523867
2280191304155597184,329.6062781873795,75.58915828635509,45.664214107445865,0.009962908,9.804927,1.9696712,21.898986318850127
2280761710172831872,337.7086563697964,77.00463096683866,11.584900190587549,0.016637668,8.261953,0.6696334,86.31925899650615
2286898320788323456,342.1552192765212,81.19196347151181,12.219160171680084,0.010954546,9.135924,0.83666134,81.83868497915795
2292241023883776000,303.07121163316685,80.46851280339384,10.223805597827488,0.017493643,7.5415487,0.50847006,97.81093648851221
2299519550340109696,335.0962949947089,82.97101135960575,17.26585927140931,0.086785026,8.905411,0.8913326,57.91776616967502
2304407257482669952,351.76097112409917,87.30758267868885,10.362135605081923,0.0669602,5.5121346,0.3286357,96.50520299209055
2310131211936957184,2.377770518998971,-34.111031038312,16.013423924397845,0.021021662,8.370672,0.8266487,62.44760675300758
2313754858664833280,358.68002504339944,-33.64353999654424,10.549381307205461,0.023972562,8.848383,0.7078724,94.79228884417874
2315959345118785408,6.875530122981769,-31.828071224147795,12.365124943803425,0.021727132,7.6433034,0.51732874,80.87261588902369
2316176498665292544,5.078646279604681,-32.76970476118153,20.64258160619136,0.22784254,8.544214,0.9141159,48.443553189106375
2322854657414397952,4.042040267215616,-27.778643907353704,13.64628142016755,0.020480232,9.193177,0.8234987,73.28003645902547
2331999742298948352,353.7286173265453,-26.9221901221821,16.65689655025678,0.018959437,9.026552,0.88276863,60.03519304948701
2333359735104124032,359.69759942818615,-28.16671236027755,14.014150849965358,0.016189182,9.552679,0.8860464,71.35644611692416
2334755805633543168,1.0662347437926476,-25.916285573195832,12.001527574620395,0.058157623,9.398189,0.9433193,83.32272652647134
2334879397612667648,359.8059459339963,-26.04869169091047,43.87288257803194,0.02071718,8.344787,1.2720642,22.793122795645086
2336290689505289472,1.8449708892821535,-25.35725020721667,20.212961763673217,0.025627531,6.9503593,0.6194134,49.473204950953914
2339755869120492800,0.07700890924641178,-23.45260275454162,10.901506466171911,0.015374965,8.916584,0.70331097,91.7304413938629
2339837370419833216,0.26768542762571657,-23.44108580435061,29.99382090528658,0.01829236,9.04744,1.2623873,33.34020040853629
2342110129673851008,11.629073277800321,-28.554037242461142,15.887104807287928,0.023962013,8.997859,0.8275356,62.94413060970478
2345744256120965504,12.308521206847134,-24.136915815173005,18.14409285483354,0.04217959,5.656901,1.1079593,55.11435639140275
2346516491241690240,9.107272325673552,-26.57538336377004,10.01447303881554,0.017282628,9.376897,0.7380934,99.8554787779702
2348267360429811456,9.55525817355536,-23.220659099288117,10.415872833626796,0.018350558,9.796512,0.8870468,96.00731652287281
2349360652944504192,13.396769170349273,-22.20401278685812,20.192544810578042,0.021816215,8.7449875,0.8910961,49.523227972540695
2351405057377686272,16.50951979353679,-22.453628285572464,19.3199483120814,0.019766677,9.805267,1.2657423,51.759972844992916
2354096868001276928,20.626732689530577,-19.081492376875115,15.679608211875921,0.020532088,6.374356,0.6015935,63.777103769888086
2356020978990038656,15.078014312132847,-20.277495128986118,11.569018109817476,0.024808325,8.909295,0.70116234,86.43775906543006
2361136766075589504,4.0016629313804986,-22.421864986809815,16.556540279222272,0.018121367,9.572087,0.9311304,60.399092028601885
2366265678581766272,4.125500110346519,-18.254611605998434,15.208658425135496,0.021354709,9.165188,0.85718346,65.75201914899282
1432617510160019200,257.78507886229846,56.65889196470552,35.69019232278293,0.5218569,6.8092947,0.8952184,28.01890197049029
1499389236407918848,211.1618653624366,43.67868972658096,11.554595911656993,0.062479913,9.920178,0.8827896,86.54564881763957
1503625448550796032,204.85015439447483,46.18821939062563,74.79854599794672,0.015314359,9.407465,2.0776463,13.369243835668287
1507839292504644096,214.71884552739965,48.59216183925927,13.597737727724471,0.017419362,7.0355854,0.4107542,73.54164494297436
1511727333122255744,214.0403113385615,51.367626355117125,33.88557592210041,0.08202134,4.6919436,0.3051815,29.511081715090256
1511727371779512704,214.0496617254159,51.376733005431596,34.029822609267875,0.02489245,8.051169,1.0128913,29.3859892095839
1541701089543657344,187.07203068109837,45.12947226531893,17.68122274671114,0.016434584,9.130175,0.9060278,56.5571744853454
1544300472472494848,188.32862521403354,49.30168803243335,12.249283650739667,0.019310595,8.0076885,0.70640516,81.63742701309847
1547163944349595648,186.45647390491686,49.433358969885745,12.224403740371335,0.04071896,9.974198,0.88673496,81.80358087302699
1556040507876718080,199.60142617233862,48.90548948993044,11.635807664491978,0.038899235,9.165328,0.8595123,85.94160618962589
1572914025633785472,182.86034071852697,53.41812596174023,34.85777494600815,0.018451612,7.990084,1.0114098,28.68800437058643
1572958452775551744,182.3363650719114,53.39400767980592,15.310087209646952,0.22667947,7.416287,0.4992771,65.31641435522953
1578280398290353536,190.31756999236188,58.96178263110207,13.263090466312125,0.016501142,7.9653807,0.6513758,75.39720870787784
1586785670487299072,222.63235001627697,45.19286239762206,12.76066587802806,0.010654071,9.7638445,0.9425659,78.36581645177694
1586968533015434624,225.23295712928606,45.427733172802014,85.4119444807103,0.025513936,8.467483,1.872684,11.707964337772957
1590328125153384064,221.8478957147504,47.909448734397124,10.7226455240842,0.031794395,7.7440767,0.74117804,93.26056687725934
1591687087165675136,222.32568498604388,49.837883303085086,17.43131014145386,0.019307107,8.030309,0.7513695,57.36803440963818
1591796419853218560,221.15733384175385,49.6827490383886,11.141496183960733,0.034026798,8.569012,0.7694559,89.75455212555718
1597952894694359808,233.13032344595265,53.90682334385024,10.523200823272676,0.011157523,9.347492,0.75472736,95.02812089154864
1598641188973481856,236.94806794500425,56.10989735480491,11.834901023115819,0.01298096,9.010428,0.73200226,84.4958481737033
1600250049363008640,226.570023309665,54.55637154358464,12.002043670843376,0.076694585,4.9840565,1.1310658,83.31914359129561
1604935893042696704,216.22239338678025,52.137271571987405,11.24325269700533,0.01677925,9.357572,0.76666546,88.94223290617249
1608729723554623488,214.26433365976536,54.542619485737646,18.666361444394205,0.09544482,6.851884,0.8806329,53.57230454252858
1615450866336763904,231.07156844923247,60.55018430122885,19.51360623123382,0.36052203,7.1135936,1.0064964,51.24629390129758
1618042690120545664,217.97818411072623,59.947228494137114,10.743828618389855,0.012615806,8.843238,0.73594093,93.07668946694972
