SOURCE_ID,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_good_obs_al,dist_pc
2286107290891539840,343.5985607119539,80.65758944665673,13.860842803381985,0.010894865,11.934417,1.7129335,1.0781803,0.077291414,9.598781,333,72.14568509181883
2289505335874515200,289.8157306622568,76.48089574441676,13.641711679063581,0.016893785,7.933064,0.68579626,0.9400048,0.13072455,10.146648,319,73.30458402333305
2293657710255428352,278.77187451344776,78.30158372307116,10.305631074677812,0.012079745,9.886111,0.892025,1.0686176,0.091832295,10.278784,315,97.03432936359633
2294305872359591808,275.67799704227116,79.17105442102542,10.552828064573403,0.015768433,8.238529,0.7007551,0.95352894,0.118125126,9.057349,316,94.76132785267974
2296215071222167680,273.17428168199035,81.97714239405056,14.570264911660468,0.014875965,10.58635,1.198307,1.4629866,0.14895955,29.560896,326,68.63293193795728
2296578184937620992,274.6902416322865,82.36144204243621,14.389172544858258,0.010581125,10.628527,1.2716541,1.0679586,0.0812945,8.603894,350,69.49669947194664
2296606802302831360,277.2340611604001,82.83988687502317,14.082100481963934,0.011832974,11.410808,1.4953012,0.9291373,0.09828612,14.225616,312,71.01213354362721
2296734139494363392,279.09370282596717,83.25321034709086,13.412765153454483,0.012617333,11.9251375,1.5546503,1.0517901,0.089754805,8.8517,303,74.55584203250201
2297791702178387840,318.0877035793306,81.40885035979319,10.109902820131927,0.011270463,8.677799,0.7681694,0.870769,0.06723233,5.3288603,328,98.91291912407826
2300774058747886208,328.26544176226537,85.46592208978784,12.786615584468766,0.121685214,11.098706,1.70469,9.150732,1.3813385,2297.6018,326,78.2067775005802
2312855733031260288,0.9757841571432487,-33.94363699718654,17.658456679880214,0.013467871,10.756958,1.4338856,1.0695851,0.06844467,6.844013,374,56.63009050725171
2321104922097953408,3.2382300761932257,-29.23896763354287,14.770870257324772,0.01814781,11.689353,1.6381445,1.139832,0.113158196,15.984528,263,67.70081806819114
2322990172222665728,5.120395807005375,-26.964278424761677,18.274712963952386,0.019941531,9.774348,1.166976,1.059452,0.07827765,6.4233484,213,54.72042170908734
2324618132330648832,356.745276371269,-32.74623731992612,37.25979652546243,0.031081416,11.356656,2.2744675,1.87132,0.2539286,133.29198,387,26.838579199342234
2326808088911182592,358.7035154192079,-30.145029743135467,20.999699655849962,0.02279644,11.194818,1.7654066,1.4569868,0.15595299,37.9412,247,47.61972868128266
2327823831496692608,356.9470783740534,-29.548982894953262,10.037429698026612,0.01620807,9.293563,0.79070187,1.0185914,0.08498844,8.793086,183,99.62709877774815
2336315634675997056,1.1879770952147317,-25.44755867597053,11.26070598939752,0.015503816,9.082576,0.74097157,1.0052867,0.0733973,6.497488,262,88.80437877887466
2340757524213206144,358.8854903952008,-23.014989575394406,14.659092671557962,0.016651638,10.137794,1.0442791,0.9188331,0.055860467,3.9088457,247,68.21704606180926
2345963711771088256,14.925257650546095,-23.69990099512071,14.39009660319522,0.01725785,9.838907,0.9901056,0.9550141,0.074748665,8.878582,501,69.49223674967944
2347327896463354240,9.213811974322391,-24.497651269217023,15.205070684214627,0.023715567,8.019259,0.80602694,0.9925293,0.11288254,10.540221,474,65.76753378977482
2347427402266219008,10.139887086770493,-23.806466059481558,35.05079849265073,0.06407643,5.9534,0.91974974,1.5317072,0.36424625,204.58994,342,28.53002051321812
2347873185511005696,5.911022312817788,-24.647927911565453,10.082144394275447,0.015260169,9.851563,0.78904724,0.9416591,0.08280071,8.486554,270,99.18524878177614
2349037602684592512,10.225433940437906,-23.00486267708469,11.039780520517061,0.019223806,10.175421,0.9274473,1.0353856,0.0979094,13.342125,396,90.5815109405059
1701925222477693952,224.70150823945175,76.52798285548604,10.057769071158699,0.016887976,7.247977,1.0449157,1.0992005,0.13902594,15.98224,291,99.42562738565597
1704152072825346432,242.47656660358186,76.26121078932624,10.347251188944854,0.010493857,11.89564,1.3691454,1.111786,0.08868652,10.824328,362,96.6440247501108
1711020485742222208,261.3331499320965,82.43175139960293,15.626246614457719,0.010319344,10.542301,1.2239599,0.9596672,0.062239535,4.569473,305,63.99489427453294
1712745791285225600,204.10996295847693,75.54219524738762,23.093390639650494,0.2243028,10.40936,1.6076012,16.883787,2.4987252,7841.299,336,43.3024329603223
1714365092738447360,223.26505695335308,78.17665551298214,14.551301955144778,0.0196319,6.3941107,1.1682882,1.0718604,0.14437276,19.689886,189,68.72237295896664
1715072529687579264,207.35574936269595,78.20894605019926,13.344719595341118,0.015166824,9.860362,0.9555702,1.0787128,0.11060694,12.671209,278,74.93600692435066
1720328951183843072,181.06413427560452,83.43804644367304,13.719449733909073,0.012811976,10.48672,1.2334595,1.1256458,0.09266989,11.241743,317,72.88922073371457
1723116041360607488,247.9783937772824,83.62466934973467,11.461023398939973,0.2050346,9.739028,0.82911587,13.59475,2.2037718,4619.281,301,87.25224311927413
1723743175305926784,265.02602540722444,85.33834043123629,10.138189409506127,0.012919246,11.399287,1.2690563,1.277921,0.12260736,22.789946,342,98.63694192400318
1725580076982641280,213.20607580130667,84.02551315237689,12.732872040289644,0.025362672,11.769034,1.6448565,2.0054586,0.2603045,81.79427,309,78.53687658493521
1728674141357680128,183.83420857247106,87.69963609708941,21.116673754787538,0.14053598,11.80363,,4.4094005,1.5096581,2854.8135,290,47.35594306244759
1733624555023358976,316.9958291572083,5.651143996957238,22.21885805095339,0.024705067,8.095674,0.8663101,1.0507073,0.13386013,13.601472,340,45.006813478296245
1736707482548494848,316.3836948497515,6.154497575135527,44.368235993854675,0.033460893,11.458691,2.5678463,1.6138766,0.2760426,143.04805,459,22.53864679539
