specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84,sfr_tot_p50
302889921851451392,269,51910,83,151.02745,-1.2051813,0.06537174,72.31905,4.094326,23.04517,3.674062,30.24506,4.443815,42.07411,4.089051,10.64922,10.5461,10.74752,-0.1389589
302895144531683328,269,51910,102,151.62075,-0.20137098,0.04634656,129.1845,4.816432,29.66156,3.280522,19.85743,3.280663,76.82323,4.074667,9.958876,9.864038,10.06112,-1.582516
302895419409590272,269,51910,103,151.69993,-0.50366235,0.04464796,212.9399,3.656242,63.36415,2.794969,34.13052,2.67603,54.62653,2.29742,9.591823,9.538307,9.661909,-0.004512169
302896518921218048,269,51910,107,151.65839,-0.21810678,0.09585693,405.8592,5.208263,92.30167,3.289191,27.28093,2.825984,124.4903,2.948637,10.25215,10.16629,10.35729,0.5235189
302898717944473600,269,51910,115,151.69436,-0.60463461,0.0874864,167.3583,3.237306,43.65201,2.596506,20.97337,2.531537,58.09896,2.336334,10.05874,9.973888,10.14905,0.06802453
302899542578194432,269,51910,118,151.72383,0.0069680745,0.04628231,546.3054,6.740446,121.7685,3.63515,29.49181,2.810577,189.0152,3.648417,9.522001,9.440937,9.616567,-0.1480145
302902016479356928,269,51910,127,150.59354,-1.229487,0.05626563,141.2449,3.251386,37.56638,3.098695,29.98764,3.075453,34.43859,2.380045,9.631007,9.55761,9.721263,-0.2275203
302903665746798592,269,51910,133,150.82352,-0.83311427,0.1176201,278.742,4.621794,77.54935,2.955865,56.85552,2.965671,74.33155,3.104519,9.91403,9.827067,10.04031,0.3887289
302904215502612480,269,51910,135,150.64224,-0.87192628,0.09410395,442.6733,5.156691,135.5812,3.568226,168.4846,4.125339,94.99934,2.467967,9.962027,9.908687,10.03606,0.6833336
302904490380519424,269,51910,136,150.6535,-1.0030934,0.04144953,210.7864,4.039564,64.18628,3.247206,100.6266,3.762649,45.84227,2.155802,9.412816,9.352407,9.491264,-0.2469333
302904765258426368,269,51910,137,150.63441,-0.83451917,0.09370887,130.482,2.719557,41.2808,2.454734,40.96172,2.584858,28.89972,1.653106,9.670394,9.58966,9.781079,0.06687354
302905040136333312,269,51910,138,150.63976,-0.9092971,0.04725183,563.6133,6.97497,200.3605,4.677447,432.1139,6.800812,76.72157,2.717018,8.943782,8.855702,9.027184,0.09058984
302907788915402752,269,51910,148,151.3722,-0.59823139,0.09577672,422.3237,5.138764,85.70646,2.996698,14.32683,2.613223,153.5983,3.155483,10.45615,10.37006,10.55844,0.6827001
302909438182844416,269,51910,154,151.52853,-0.21550041,0.04530115,311.8186,4.391,78.53313,2.878452,110.7312,3.384811,60.57347,2.160191,9.500097,9.415074,9.632326,-0.09402321
302910812572379136,269,51910,159,151.54134,-0.66686966,0.02123116,798.1581,8.187,190.0807,4.134522,101.6299,3.501528,208.5387,3.28453,8.870796,8.795813,8.970847,-0.5750989
302911362328193024,269,51910,161,151.19614,-0.62856884,0.09412583,73.5582,2.948526,24.03005,2.571135,15.68722,2.628053,28.06275,2.417498,10.43849,10.3449,10.53573,-0.01278681
302914935740983296,269,51910,174,151.21919,-0.50697219,0.06933434,0.0,-0.7777437,99.06874,3.159898,58.99099,2.877541,0.0,-0.7777437,9.703861,9.612699,9.847995,0.09906765
302918509153773568,269,51910,187,150.96999,-0.62093281,0.1226063,373.0755,5.955245,91.5835,3.651128,40.08422,3.298511,137.0912,3.90126,10.62096,10.52776,10.71344,0.6886203
302919333787494400,269,51910,190,151.00909,-0.34292988,0.03396715,327.6885,5.494186,87.56528,3.882511,76.33783,3.823962,71.79076,2.569209,9.597247,9.487025,9.746374,-0.276515
302919608665401344,269,51910,191,151.09633,-0.21299347,0.09561214,71.11981,2.72407,14.90018,2.202632,15.23804,2.303242,38.07292,2.392275,10.68777,10.59089,10.78719,0.2941119
302921532810749952,269,51910,198,151.12187,-0.24097976,0.04486069,425.4857,5.093757,110.9645,3.273796,78.56113,3.222106,105.5541,2.804211,9.535662,9.463939,9.62291,-0.1786306
