specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,lgm_tot_p50,lgm_tot_p16,lgm_tot_p84,sfr_tot_p50,N2,log_OH
304054304648488960,270,51909,223,152.40433,-0.3270286,0.06670682,386.8065,5.151794,77.2675,2.861842,21.32518,2.491591,128.2007,3.110373,10.18353,10.0895,10.27739,0.2143672,-0.4796033669539976,8.626626080836221
299658727357704192,266,51630,616,146.84222,0.74084309,0.02013125,473.6742,4.980221,116.5431,3.381064,105.9001,3.362133,128.7748,2.614155,9.300351,9.197773,9.401096,-0.991119,-0.5656488462486029,8.577580157638296
301762642907785216,268,51633,78,150.34506,-0.1570532,0.09086309,182.9527,2.839248,39.43608,2.04968,23.87024,2.8085,55.98114,2.025812,10.18891,10.10198,10.28587,0.3159702,-0.5142970849565021,8.606850661574795
302921807688656896,269,51910,199,151.12586,-0.15564361,0.1226908,978.9601,9.54037,219.2803,4.224236,85.29597,3.232491,424.3368,5.027249,10.33172,10.23625,10.45623,0.9084492,-0.3630542944259987,8.693059052177182
299588083735619584,266,51630,359,145.28856,0.34651307,0.06460119,155.0861,2.713421,32.05624,2.166479,12.76922,2.183434,46.9244,1.971767,9.92829,9.843597,10.02864,0.03468393,-0.51917414655982,8.604070736460903
300740646430337024,267,51608,456,147.99331,0.93640433,0.0880089,258.7148,3.512493,56.74957,2.61239,25.94346,2.54135,79.41491,2.277211,10.19501,10.10859,10.29358,0.2724679,-0.512919225557533,8.607636041432206
301880840407771136,268,51633,508,149.96206,0.18050882,0.1246748,223.1318,3.404991,39.80885,2.207309,12.86048,2.105783,93.75179,2.740507,10.4879,10.38721,10.59034,0.7617589,-0.37658190044603673,8.68534831674576
299664774671656960,266,51630,638,147.19292,0.27191843,0.02016207,2891.112,21.44574,794.5548,9.272701,626.6895,9.35099,740.2675,7.623108,9.370326,9.296456,9.50381,-0.07398286,-0.5916762333635731,8.562744546982763
299517714991441920,266,51630,103,146.59449,-0.13317431,0.0456523,76.40859,2.839703,15.31487,2.407868,12.30203,2.256964,17.57924,1.596452,9.605663,9.505731,9.714461,-0.4948,-0.6381420901662485,8.536259008605239
301892660157769728,268,51633,551,150.19313,0.20806812,0.1338845,609.3261,5.704637,157.4212,3.125852,82.82269,2.874016,198.5035,2.934815,10.27163,10.20468,10.36924,0.7894861,-0.48708161256547244,8.62236348083768
301903380396140544,268,51633,590,150.28953,0.58652514,0.03422084,176.7913,2.365292,50.38275,1.946481,38.52822,1.9879,40.77235,1.397027,9.189971,9.133575,9.256885,-0.3095871,-0.6370951456775908,8.536855766963773
301907778442651648,268,51633,606,150.16656,1.0684998,0.09363134,134.4062,2.276971,32.0603,1.906245,11.14184,1.635126,42.97071,1.598669,10.09927,10.00724,10.20589,0.1104978,-0.4952467731338221,8.617709339313722
303039455432828928,269,51910,627,152.00348,0.35649896,0.0315523,515.8463,5.890508,166.0813,4.051845,374.4175,6.067232,47.48361,2.053334,8.779552,8.703516,8.859195,-0.3199299,-1.0359765905226717,8.309493343402078
299623817863522304,266,51630,489,146.08981,0.65983497,0.03610206,56.51643,1.956962,15.24712,2.175401,15.74001,2.28521,20.85264,1.516511,9.533856,9.428717,9.642643,-1.197285,-0.4330136751248741,8.653182205178823
300739821796616192,267,51608,453,147.96838,0.76446076,0.1427079,234.954,3.251319,53.53412,2.471125,14.18542,2.209085,80.6431,2.562717,10.48629,10.40199,10.58005,0.6909093,-0.4644156289867456,8.635283091477556
301761818274064384,268,51633,75,150.29487,-0.10716579,0.09199978,710.4791,6.351629,200.2337,3.369928,211.9003,3.825894,169.5144,2.66513,9.797049,9.743414,9.872291,0.4707875,-0.6223447101243482,8.545263515229122
300745594232662016,267,51608,474,147.89718,0.43473978,0.02063313,1615.863,12.72154,491.2562,5.860299,465.3918,5.990117,311.3021,3.726539,9.396223,9.303869,9.498045,-0.390406,-0.7152224862139777,8.492323182858033
303043028845619200,269,51910,640,152.08589,0.25061994,0.0314129,159.1111,2.958854,57.57797,2.620919,24.14566,2.318363,50.82046,2.051662,9.596257,9.53397,9.684463,-0.04162476,-0.4956618864679496,8.617472724713268
301851978227542016,268,51633,403,149.33768,0.81491532,0.03853054,55.71701,1.701216,16.44392,1.609426,12.32566,2.290007,18.66358,1.584349,9.466243,9.385607,9.559876,-0.6646209,-0.47499284972591505,8.62925407565623
301870395047307264,268,51633,470,149.38738,0.66816848,0.08699062,1377.372,9.744637,342.5907,4.609422,251.1261,4.344864,473.4592,4.38168,10.59458,10.06758,10.94466,0.3315616,-0.46376869021159317,8.635651846579393
300713708395456512,267,51608,358,147.30934,0.3442723,0.07294767,277.6913,3.502074,81.46915,2.689712,77.41117,2.920129,69.25172,2.054905,9.863623,9.790909,9.982266,0.4332767,-0.6031317092129742,8.556214925748606
301860224564750336,268,51633,433,149.33858,0.7064551,0.08737121,2461.139,17.06004,438.9782,5.567213,288.1552,5.042964,912.5567,7.222582,10.62297,10.51959,10.72881,1.240488,-0.43087628440202896,8.654400517890844
302870405520058368,269,51910,12,151.67706,-0.89263129,0.0955369,512.6663,6.178103,116.3495,4.222839,33.1859,3.761493,231.0068,4.019228,10.4195,10.3231,10.51112,0.6230878,-0.34621000600161395,8.702660296579081
300659557447788544,267,51608,161,148.10352,-0.46224293,0.106981,283.6448,3.75158,70.57777,2.381278,23.34986,2.239243,106.8202,2.771751,10.23378,10.15535,10.32833,0.3965435,-0.42412143937938135,8.658250779553754
304068598299650048,270,51909,275,152.261,-0.26415103,0.06932157,195.4794,3.13563,52.80693,2.279799,16.60409,2.000443,62.0428,2.015683,9.694052,9.624944,9.785484,-0.01891555,-0.4984096079917586,8.615906523444698
300631794779187200,267,51608,60,148.45399,-0.79593592,0.08940861,875.5927,7.129237,196.5765,3.698131,56.91388,2.927918,352.4027,4.041708,10.33737,10.2452,10.43735,0.5681639,-0.39526290492464927,8.67470014419295
301787107041503232,268,51633,167,149.84503,-0.016458094,0.07280485,296.3441,3.555487,54.81047,2.210435,25.32078,2.14309,109.7421,2.335342,10.21284,10.12389,10.31049,0.3410714,-0.43142301866670474,8.654088879359978
302964413764233216,269,51910,354,150.63229,0.26111798,0.04374476,91.79169,2.44801,25.00294,2.15801,12.42565,2.143021,26.42874,2.321699,9.547469,9.472671,9.64017,-0.3064653,-0.5407269073618364,8.591785662803753
302903665746798592,269,51910,133,150.82352,-0.83311427,0.1176201,278.742,4.621794,77.54935,2.955865,56.85552,2.965671,74.33155,3.104519,9.91403,9.827067,10.04031,0.3887289,-0.5740292227895126,8.572803343009978
304069697811277824,270,51909,279,152.25671,-0.34889085,0.0711996,235.755,3.636511,58.93829,2.415901,15.8679,2.045458,75.03331,2.268048,9.666656,9.599413,9.757042,0.08444676,-0.49720680699626824,8.616592120012127
301807722884524032,268,51633,242,148.96589,-0.99283568,0.08443944,160.1712,2.497444,41.82759,2.020365,21.72045,2.122846,52.5919,1.708253,9.782548,9.712235,9.877737,0.04763459,-0.4836655683606245,8.624310626034445
300748617889638400,267,51608,485,148.18812,0.75165767,0.02616739,2008.508,14.68418,652.4969,7.216549,2147.528,17.18211,139.4422,2.398625,8.485353,8.36093,8.651177,-0.2876188,-1.1584793398068123,8.239666776310118
300632619412908032,267,51608,63,149.09028,-0.25137208,0.02139691,1253.103,10.34363,293.0078,4.646025,109.8257,3.454516,380.4087,4.460206,9.548556,9.4619,9.646119,-0.3263336,-0.51773632895747,8.604890292494243
300615576982677504,267,51608,1,148.59859,-0.73222758,0.04655848,212.5971,3.508145,74.67915,2.687029,104.2611,3.149531,42.20855,1.772798,9.622324,9.530331,9.738407,-0.2669785,-0.7021569030996112,8.499770565233222
299577088619341824,266,51630,319,145.16739,-0.4823431,0.06237372,118.0372,2.249772,35.12086,1.940183,21.07775,2.098637,32.00217,1.619299,9.530203,9.459841,9.624979,-0.2674824,-0.5668394709891356,8.576901501536193
300698040354760704,267,51608,301,146.78847,-0.31065752,0.05661373,86.15946,2.05165,21.42213,1.931363,20.60324,1.93604,15.16521,1.368317,9.405702,9.318319,9.504146,-0.3492937,-0.7544545398059169,8.469960912310627
301915475024046080,268,51633,634,150.52855,0.25767815,0.04574162,93.14961,2.723551,26.42593,2.035096,16.0966,1.697796,26.37182,1.441878,9.364898,9.301609,9.450599,-0.1959998,-0.5480409381073613,8.587616665278805
300631245023373312,267,51608,58,148.50439,-0.7917225,0.0891128,228.8008,2.936457,60.60601,2.051957,58.85229,2.196884,53.63553,1.645658,9.847684,9.788057,9.929645,0.376092,-0.630004962165821,8.540897171565483
303010318374692864,269,51910,521,151.15529,0.82931967,0.06594614,1550.91,13.13206,331.4507,5.578319,128.002,4.21933,640.8735,6.582103,9.977845,9.846353,10.11915,0.6480117,-0.3838142822827647,8.681225859098824
303011692764227584,269,51910,526,150.9942,0.73665141,0.04659506,335.0702,4.974041,99.25793,2.939908,22.25117,2.369515,128.5562,2.975832,9.944843,9.870419,10.03902,0.01608802,-0.41604277827394515,8.662855616383851
299531733764696064,266,51630,154,146.39902,-0.35038267,0.05354775,376.7933,4.230413,83.58832,2.909524,70.26048,2.801459,107.1019,2.328439,9.64341,9.552347,9.743503,-0.1013138,-0.5463059963904554,8.588605582057442
304049631724070912,270,51909,206,152.49254,-1.1817654,0.03176129,240.4107,3.522474,72.23491,2.516813,34.66051,2.292989,62.36785,1.988459,9.395621,9.32303,9.488191,-0.4072894,-0.5859930200558816,8.565983978568148
