tjd,aperture_difference_flux,scaled_aperture_flux,mit_difference_flux,residual
1330.657377792717,-0.09452247619628906,608.9018961681002,-2574.5676398292603,3183.4695359973603
1330.678211386144,-3.046384811401367,-4940.371533374429,-3308.733065502628,-1631.6384678718014
1330.6990449793966,-0.5487747192382812,-245.0572714256333,-2474.9854353875207,2229.9281639618875
1330.719878572474,-2.307424545288086,-3551.1832499901984,-3492.9243885420747,-58.25886144812375
1330.740712165376,-2.000335693359375,-2973.8799028141784,-3124.9560252447495,151.0761224305711
1330.7615457581628,-0.39304351806640625,47.7053708246832,-1192.2349852402986,1239.9403560649816
1330.7823793507168,0.3835105895996094,1507.5671756516158,38.82306510893676,1468.744110542679
1330.8032129431544,0.7508220672607422,2198.084412529913,-1206.0824121731428,3404.1668247030557
1330.824046535417,-1.8928031921386719,-2771.727097542912,-2501.804188217676,-269.9229093252361
1330.8448801275053,-1.5781364440917969,-2180.177890362231,-2661.229994402567,481.05210404033596
1330.8657137194768,-2.197542190551758,-3344.6129014202306,-1945.5619331526286,-1399.050968267602
1330.886547311216,-0.31549072265625,193.4986423548845,-723.596603475409,917.0952458302935
1330.9073809028391,-1.137899398803711,-1352.5662131571826,-723.4701962571427,-629.0960169000399
1330.928214494286,-0.6771087646484375,-486.31537476154233,-1561.0459124586146,1074.7305376970721
1330.949048085501,-1.1564254760742188,-1387.393808985339,-575.6404308944464,-811.7533780908927
1330.969881676599,0.2635631561279297,1282.0752556634268,25.644137386257057,1256.4311182771698
1330.990715267581,-0.09574127197265625,606.6106541487248,-1469.8401497489294,2076.450803897654
1331.0115488583306,-1.0736579895019531,-1231.7973204270124,-2157.823091577047,926.0257711500344
1331.032382448906,-0.6286582946777344,-395.23222957191695,-908.41374781436,513.1815182424431
1331.0532160393645,-0.4423656463623047,-45.01642476064569,380.2942420785066,-425.3106668391523
1331.0740496295894,-0.015275955200195312,757.8792411148979,1353.3306941595229,-595.4514530446249
1331.0948832196987,0.47752952575683594,1684.3155212870859,1222.5542332790337,461.76128800805213
1331.115716809632,-0.11171913146972656,576.573511118511,341.3574688289063,235.21604228960467
1331.136550399393,-0.09208488464355469,613.4843802068506,-528.7356362381777,1142.2200164450283
