pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_radj,pl_bmassj,st_mass,st_teff
TOI-3664 b,TOI-3664,2026,Transit,3.2974839,0.159,0.074,-0.074,1.222,0.36,0.98,5593.0
K2-419 A b,K2-419 A,2024,Transit,20.35847252,0.042,0.045,-0.029,0.941,0.617,0.562,3711.0
TOI-4794 b,TOI-4794,2025,Transit,3.5658116,0.1,,,1.281,0.97,1.25,6390.0
TOI-5205 b,TOI-5205,2023,Transit,1.630757,0.02,0.02,-0.014,1.03,1.08,0.392,3430.0
TOI-2338 b,TOI-2338,2023,Transit,22.65398,0.676,0.002,-0.002,1.0,5.98,0.99,5581.0
Qatar-3 b,Qatar-3,2017,Transit,2.5079204,0.0,,,1.096,4.31,1.145,6007.0
Kepler-40 b,Kepler-40,2010,Transit,6.87349,0.0,,,1.17,2.2,1.48,6510.0
WASP-90 b,WASP-90,2016,Transit,3.916243,0.0,,,1.63,0.63,1.55,6430.0
TOI-519 b,TOI-519,2021,Transit,1.2652328,0.33,,,1.03,0.463,0.335,3322.0
TOI-2578 b,TOI-2578,2026,Transit,3.4579667,0.098,0.043,-0.042,1.754,0.526,1.27,6333.0
Kepler-762 b,Kepler-762,2016,Transit,3.770552098,0.0,,,1.13123383,,1.06,5944.0
CoRoT-30 b,CoRoT-30,2020,Transit,9.06005,0.007,0.031,-0.031,1.009,2.9,0.98,5650.0
WASP-98 b,WASP-98,2014,Transit,2.96264036,0.0,,,1.144,0.922,0.809,5473.0
Kepler-108 b,Kepler-108,2014,Transit,49.183921,0.22,0.19,-0.12,0.772,0.176,1.247,5854.0
Kepler-950 b,Kepler-950,2016,Transit,98.7180406,0.0,,,0.80114194,0.188,1.02,5857.0
TOI-1194 b,TOI-1194,2023,Transit,2.3106446,0.0,,,0.77764833,0.37756222,0.9835,5394.0
TOI-837 b,TOI-837,2020,Transit,8.3249113,0.0,,,0.818,0.379,1.142,5995.0
TOI-6130 b,TOI-6130,2024,Transit,2.392679,0.036,0.018,-0.018,1.28,1.05,1.31,6110.0
rho CrB b,rho CrB,1997,Radial Velocity,39.849,0.046,0.002,-0.002,1.23,1.09491472,1.0,5817.0
TOI-5210 b,TOI-5210,2025,Transit,4.5661061,0.066,,,0.957,0.258,1.105,5723.0
NGTS-30 b,NGTS-30,2024,Transit,98.29838,0.294,0.014,-0.01,0.928,0.96,0.94,5455.0
CoRoT-16 b,CoRoT-16,2011,Transit,5.35227,0.33,0.09,-0.1,1.17,0.535,1.098,5650.0
HD 205158 b,HD 205158,2022,Radial Velocity,25.33798,0.145,0.075,-0.058,1.24,0.392,1.16,6133.55
WASP-116 b,WASP-116,2025,Transit,6.6132,0.0,,,1.22,0.64,1.25,6250.0
WASP-193 b,WASP-193,2023,Transit,6.2463475,0.081,0.076,-0.055,1.319,0.112,1.018,6080.0
TOI-1898 b,TOI-1898,2024,Transit,45.52234,0.485,0.039,-0.039,0.83821469,0.40587939,1.2484,6241.0
TOI-1937 A b,TOI-1937 A,2023,Transit,0.94667944,0.0,,,1.247,2.01,1.072,5814.0
TOI-1338 b,TOI-1338 A,2020,Transit,95.4001,0.0331,0.0022,-0.0021,0.6835,0.0355,1.0936,5723.2
TOI-905 b,TOI-905,2020,Transit,3.739494,0.024,0.025,-0.017,1.171,0.667,0.968,5570.0
TOI-2000 c,TOI-2000,2023,Transit,9.127055,0.063,0.023,-0.022,0.727,0.257,1.082,5611.0
TOI-1333 b,TOI-1333,2021,Transit,4.720219,0.073,0.092,-0.052,1.396,2.37,1.464,6274.0
HD 1397 b,HD 1397,2018,Transit,11.53533,0.251,0.02,-0.019,1.026,0.415,1.324,5521.0
TOI-4582 b,TOI-4582,2023,Transit,31.034,0.51,0.05,-0.05,0.94,0.53,1.34,5190.0
NGTS-21 b,NGTS-21,2022,Transit,1.5433897,0.0,,,1.33,2.36,0.72,4660.0
KELT-9 b,KELT-9,2017,Transit,1.4811235,0.0,,,1.936,2.88,2.32,9270.0
WASP-11 b,WASP-11,2008,Transit,3.72247,0.0,,,1.11,0.79,1.42,4800.0
CoRoT-11 b,CoRoT-11,2010,Transit,2.99433,0.0,,,1.43,2.33,1.27,6440.0
TOI-5349 b,TOI-5349,2026,Transit,3.317921,0.03,0.03,-0.02,0.91,0.4,0.61,3751.0
Kepler-14 b,Kepler-14,2011,Transit,6.790123,0.035,0.02,-0.02,1.136,8.4,1.512,6395.0
TOI-4406 b,TOI-4406,2023,Transit,30.08364,0.15,0.05,-0.04,1.0,0.3,1.19,6219.0
HD 108147 b,HD 108147,2002,Radial Velocity,10.8985,0.53,0.12,-0.12,0.973,0.261,1.22,6255.73
CoRoT-6 b,CoRoT-6,2009,Transit,8.886593,0.1,,,1.166,2.96,1.05,6090.0
TOI-7510 d,TOI-7510,2025,Transit,48.864468,0.04,0.022,-0.022,0.939,0.597,1.063,5720.0
Kepler-7 b,Kepler-7,2009,Transit,4.8854892,0.0,,,1.622,0.441,1.359,5933.0
HD 224693 b,HD 224693,2006,Radial Velocity,26.6904,0.104,0.017,-0.017,1.25,0.7,1.31,5894.0
HD 202772 A b,HD 202772 A,2019,Transit,3.3088775,0.03,0.024,-0.019,1.627,1.018,1.721,6442.0
WASP-130 b,WASP-130,2016,Transit,11.55098,0.0,,,0.89,1.23,1.04,5625.0
HD 162020 b,HD 162020,2002,Radial Velocity,8.4282,0.28,0.0,0.0,1.11,9.84,0.42,4723.0
WASP-157 b,WASP-157,2016,Transit,3.951623,0.0,,,0.99830493,0.574,1.06,5772.0
Kepler-693 b,Kepler-693,2016,Transit,15.37563332,0.0,,,0.90819877,0.232,0.76,4881.0
TrES-5 b,TrES-5,2011,Transit,1.48224686,0.0,,,1.194,1.79,0.901,5171.0
K2-127 b,K2-127,2017,Transit,3.588163,0.12,0.142231,-0.096252,0.74672138,0.167,0.72,4575.0
WASP-119 b,WASP-119,2016,Transit,2.49979,0.058,,,1.4,1.23,1.02,5650.0
WTS-1 b,WTS-1,2012,Transit,3.352057,0.1,,,1.49,4.01,1.2,6250.0
Kepler-1487 c,Kepler-1487,2023,Transit,35.8007112,0.0,,,0.711037,0.153,1.801,5745.0
Kepler-8 b,Kepler-8,2010,Transit,3.5224991,0.0,,,1.416,0.59,1.213,6213.0
HATS-51 b,HATS-51,2017,Transit,3.3488702,0.33,,,1.41,0.768,1.187,5758.0
HAT-P-15 b,HAT-P-15,2010,Transit,10.8635,0.19,0.02,-0.02,1.06,1.94,1.0,5568.0
K2-238 b,K2-238,2018,Transit,3.20466,0.0,,,1.3,0.86,1.19,5630.0
