id,z_phot,f_f444w,e_f444w,mu,mu_low_68,mu_high_68,intrinsic_f444w_proxy
14367,6.772625,0.7319616,0.1420752,2.410994,2.402117,2.486963,0.3035932897385891
14390,9.549776,7.171709,0.7985525,1.319583,1.305984,1.322474,5.4348297909263765
14529,6.638628,0.9199275,0.1463486,2.391514,2.371697,2.454198,0.3846632300709927
14738,6.350443,1.339943,0.1771663,1.932947,1.924835,1.988442,0.693212488495546
14827,6.675388,2.779727,0.3848166,1.446142,1.433502,1.454477,1.9221673943499322
14828,6.710361,2.957305,0.352756,1.446961,1.434516,1.453501,2.0438042213991947
15064,6.660398,5.21159,0.5708397,1.253722,1.243305,1.258118,4.156894431141832
15204,6.318465,1.164539,0.1856976,2.634808,2.618091,2.724836,0.4419824898057088
15271,6.107553,1.634549,0.1909874,2.644425,2.61573,2.720041,0.6181113096419827
15409,8.029243,0.8688351,0.1652804,1.843662,1.85103,1.904359,0.47125508905645397
15452,6.250431,14.74442,0.2188035,2.656424,2.679545,2.737428,5.55047688170262
15453,6.242099,2.029245,0.1553351,2.696254,2.720098,2.783036,0.7526164078013421
15456,6.767949,1.930528,0.2445534,1.77319,1.773371,1.822393,1.0887316080059102
15552,7.302108,1.082885,0.1681161,2.163923,2.143828,2.210136,0.5004267711928752
15558,7.246083,2.125025,0.3833485,2.149649,2.134799,2.184193,0.988545106666251
15651,6.201811,4.492272,0.6507956,1.245229,1.23343,1.247449,3.60758703820743
15689,7.0271,2.048613,0.1938273,1.897148,1.876419,1.918443,1.0798382624866378
15724,9.184532,7.993387,0.5993332,1.828541,1.80285,1.846982,4.3714562593893165
15779,7.252937,47.89864,0.4141779,2.159322,2.142324,2.197644,22.18225906094598
15838,8.428721,2.249881,0.3459862,2.213577,2.196729,2.259665,1.016400604090122
15899,6.465705,7.553303,0.422667,1.769111,1.748758,1.78721,4.269547247176689
15961,6.286501,4.285806,0.2555111,2.206824,2.198903,2.256408,1.9420696892910354
