time,flux,error,quality
289.9134052711306,526054.25,20.150291442871094,0
289.9338382399219,526081.9375,20.157495498657227,0
289.9542711086033,526110.0625,20.15553855895996,0
289.9747040772854,526059.875,20.1600284576416,0
289.99513714596105,526072.5625,20.15947151184082,0
290.015570014526,526080.0625,20.160625457763672,0
290.03600298297533,526066.125,20.156227111816406,0
290.05643605141813,526070.125,20.156991958618164,0
290.07686901986744,526115.3125,20.158662796020508,0
290.0973018881996,526115.9375,20.158037185668945,8192
290.11773495652596,526112.875,20.153881072998047,0
290.13816792474245,526074.0,20.152925491333008,0
290.15860079284175,526140.5,20.1649169921875,0
290.17903376105096,526177.1875,20.16292381286621,0
290.1994668290354,526103.6875,20.15906524658203,0
290.2198996971274,526186.9375,20.155384063720703,0
290.24033266499464,526113.25,20.158140182495117,0
290.26076573297905,526113.5,20.15654182434082,0
290.2811986007291,526104.25,20.154409408569336,0
290.3016315685891,526091.8125,20.153043746948242,0
290.3220645363399,526101.0,20.15851593017578,0
290.342497503967,526088.8125,20.156362533569336,0
290.36293047160143,526088.375,20.157405853271484,0
290.3833634391194,526111.5,20.155118942260742,0
290.4037965066309,526110.4375,20.15424156188965,0
290.4242293741481,526118.8125,20.15641975402832,0
290.4446623415497,526097.3125,20.15721893310547,0
290.46509540894476,526147.3125,20.160634994506836,0
290.5059612435143,526133.3125,20.158126831054688,0
290.5263941106823,526125.125,20.153663635253906,0
290.54682717784453,526184.5,20.151338577270508,0
291.42544451489084,526080.875,20.16193199157715,0
291.44587757973204,526042.6875,20.167705535888672,0
291.4663105444488,526028.125,20.166444778442383,0
291.48674340928847,526037.4375,20.166057586669922,0
291.50717647389683,525931.0625,20.167346954345703,393216
291.5276094386136,525901.4375,20.167627334594727,0
291.5480423032204,525934.6875,20.1685733795166,0
291.5684752677116,525989.625,20.166584014892578,0
291.5889083321963,525993.25,20.16785430908203,0
291.6093411966867,525988.8125,20.1626033782959,0
291.6297741610615,526014.75,20.166200637817383,128
291.65020722542977,526049.0,20.16878318786621,0
291.67064008968737,526014.25,20.167510986328125,0
291.69107305394573,526041.375,20.167390823364258,0
291.7115061181976,526040.4375,20.162029266357422,0
291.7319390823395,526039.6875,20.165822982788086,0
291.7523719463643,526023.5625,20.16926383972168,0
291.77280491049896,526075.25,20.165559768676758,0
291.79323797440884,526043.4375,20.16413116455078,0
291.8136708384336,526063.375,20.166385650634766,0
291.83410380233545,526076.8125,20.162860870361328,0
291.85453676612815,526059.125,20.164905548095703,0
291.87496972992085,526062.4375,20.165157318115234,0
291.8954025937055,526069.0625,20.162673950195312,0
291.9158355573818,526089.8125,20.160966873168945,0
291.93626862105884,526078.5,20.168764114379883,8192
291.95670158472785,526065.5,20.16730499267578,0
291.97713444828696,526004.8125,20.16752052307129,0
291.9975675117312,526054.125,20.16790199279785,0
292.01800047528377,526028.0625,20.166080474853516,0
292.03843333861005,526057.3125,20.166475296020508,0
292.05886640205426,526079.125,20.16594886779785,0
292.079299365374,525981.0,20.163362503051758,8320
292.0997322285839,526053.6875,20.16327667236328,8192
292.1201651917945,526068.6875,20.163105010986328,0
292.1405982549986,526051.0625,20.166532516479492,8192
292.1610311182085,526086.3125,20.16463851928711,0
292.1814640811863,526079.875,20.163089752197266,0
292.20189714427397,526094.875,20.162492752075195,0
292.222330007251,526085.125,20.166189193725586,0
292.2427629702288,526056.875,20.16382598876953,0
292.2631959330829,526110.875,20.168018341064453,0
292.28362899594504,526057.5625,20.16471290588379,0
292.30406185868924,526035.0625,20.16472053527832,0
292.32449482154334,526022.1875,20.165307998657227,128
292.34492788417265,525965.9375,20.16673469543457,0
292.36536074680043,525858.625,20.164794921875,0
292.3857937094217,525917.125,20.15994644165039,0
292.406226772051,526047.125,20.167882919311523,0
292.4266596345624,526084.8125,20.16013526916504,0
292.44709259706724,526061.9375,20.16758155822754,0
292.46752555946296,526095.25,20.166013717651367,262144
292.4879585218587,526048.75,20.16463279724121,0
292.5083914841307,526089.625,20.167688369750977,0
292.52882444641,526052.75,20.162656784057617,0
292.5492574086893,526078.625,20.16244888305664,0
292.5696903708449,526082.8125,20.166383743286133,0
292.5901233330078,526067.125,20.16596794128418,0
292.6105561951699,526039.3125,20.166866302490234,0
292.6309892572099,526083.5,20.167112350463867,0
292.65142221913993,526056.9375,20.16217613220215,0
292.67185508118564,526046.875,20.16266441345215,0
292.6922881431092,526025.6875,20.1666202545166,0
292.7127211049228,526073.375,20.163867950439453,0
292.7331539667357,526052.3125,20.163745880126953,0
292.7535870285428,526067.75,20.165225982666016,0
292.77401999024005,526078.0625,20.16943359375,0
292.7944529519373,526092.1875,20.164506912231445,0
292.81488581362646,526063.375,20.161447525024414,0
292.83531887520803,526046.3125,20.165119171142578,0
292.85575183678884,526072.4375,20.163463592529297,0
292.8761846982525,526046.8125,20.163049697875977,0
292.89661775971035,526061.875,20.164443969726562,0
292.917050621174,526083.625,20.1685848236084,0
292.9374835825147,526051.5625,20.158273696899414,0
292.95791654386267,526058.625,20.16510772705078,128
292.97834950521064,526045.125,20.16646957397461,0
292.9987824664422,526115.75,20.16166114807129,0
293.0192154276665,526055.1875,20.164186477661133,0
293.03964838878164,526051.6875,20.163410186767578,0
293.0600813498895,526037.5,20.16417121887207,8192
293.08051431088825,526077.75,20.1652774810791,0
293.1009472720034,526045.0625,20.16877555847168,0
293.1213802330021,526062.1875,20.16805648803711,0
293.14181319387717,526067.5,20.168649673461914,0
293.1622460547587,526033.1875,20.16644859313965,8192
293.1826791156345,526080.4375,20.171363830566406,128
293.20311207640043,525959.25,20.163599014282227,0
293.22354493716557,525947.5,20.162614822387695,0
293.24397799793223,525946.625,20.163976669311523,0
293.26441095857444,526041.375,20.167232513427734,0
293.28484391922393,526050.8125,20.16592788696289,0
293.30527677975624,526049.25,20.170347213745117,0
293.3257098402828,526060.0625,20.16611671447754,0
293.34614280081587,526077.5625,20.16732406616211,0
293.3665756613482,526060.3125,20.16767120361328,8192
293.3870087217583,526007.5,20.16617774963379,0
293.40744168205856,526031.875,20.1632022857666,0
293.4278745424672,526036.5625,20.167200088500977,0
293.468740562952,526048.0,20.158905029296875,0
293.48917342313507,526082.75,20.166522979736328,0
293.5096063833116,526086.0,20.16584587097168,0
293.5300394433798,526069.125,20.166515350341797,0
293.55047230343916,526054.0625,20.169063568115234,0
293.5709052635066,525991.9375,20.170209884643555,0
293.59133832357475,526015.8125,20.170984268188477,0
293.61177128340205,526098.5,20.16379737854004,0
293.6322041433523,526053.375,20.16501235961914,0
