id,ra,dec,x,y,use_phot,flag_eazy,flag_star,flag_artifact,flag_nearbcg,nusefilt,z_phot,z_phot_chi2,z025,z160,z500,z840,z975,z_spec,mu,mu_low_68,mu_high_68,flux_radius,iso_area,use_aper,f_f090w,e_f090w,w_f090w,f_f115w,e_f115w,w_f115w,f_f150w,e_f150w,w_f150w,f_f200w,e_f200w,w_f200w,f_f277w,e_f277w,w_f277w,f_f356w,e_f356w,w_f356w,f_f444w,e_f444w,w_f444w
3112,3.599136,-30.45669,6137.247,958.5921,1,1,0,0,0,9,11.90327,8.299918,2.753209,3.304547,11.49651,12.09578,12.52209,,1.321474,1.315505,1.334513,0.9855409,0.192,0.32,0.2641741,0.2208977,0.2354836,0.03258112,0.2130286,0.3334829,0.7108746,0.1998615,0.5034669,1.744491,0.1616435,0.4672247,1.688635,0.1318322,0.4706285,1.646356,0.136131,0.3337758,1.64762,0.2137378,0.1341102
3117,3.640015,-30.45542,2965.785,1072.587,1,1,0,0,0,6,6.670237,0.646342,0.4779566,2.360579,6.939331,15.2177,19.13793,,1.255299,1.251274,1.267434,0.1195371,0.008,0.32,,,,-0.03202488,0.6160479,0.05806096,0.46754,0.5534052,0.09561077,0.494334,0.4213033,0.100142,0.7250787,0.3263011,0.1118531,1.208187,0.3052732,0.09663963,0.6218482,0.4590735,0.04232761
3119,3.654431,-30.45543,1847.352,1070.74,1,1,0,0,0,7,6.145088,1.411233,0.739548,1.635381,5.809429,6.592916,7.127712,,1.22033,1.215777,1.227497,0.1057245,0.0512,0.32,,,,2.214565,0.5836607,0.05655533,1.530417,0.4869252,0.1079817,1.491161,0.3928518,0.1007001,2.076139,0.3240767,0.09914497,2.614707,0.2843048,0.0974194,1.861638,0.4388215,0.0405036
3125,3.615208,-30.45542,4890.315,1072.761,1,1,0,0,0,9,9.64024,6.742714,0.8093604,4.191991,10.15374,11.42378,14.84882,,1.321849,1.316588,1.335723,0.1389301,0.0352,0.32,-0.2278515,0.2516761,0.2285774,-0.3409161,0.2193199,0.3964306,0.5329731,0.2039086,0.6094421,0.5463417,0.1581974,0.6146354,0.76535,0.1319292,0.592125,0.6132174,0.120592,0.5359269,0.6941025,0.1897079,0.2144999
3128,3.607316,-30.45541,5502.618,1073.61,1,1,0,0,0,9,13.40571,2.220206,1.424594,6.958969,12.86122,14.46716,15.8165,,1.336753,1.331229,1.348041,0.2572656,0.016,0.32,0.0143379,0.6457804,0.2341533,-0.6757082,0.6291884,0.3248737,-0.1779054,0.5879639,0.4943731,1.655737,0.4739881,0.4617789,1.647941,0.4061201,0.4214431,1.768592,0.4217246,0.2955546,1.522053,0.6396772,0.1272417
3141,3.621477,-30.45534,4403.997,1080,1,1,0,0,0,10,6.978825,6.156411,0.3655872,1.7442,6.413013,9.994405,17.43099,,1.30353,1.298007,1.317257,0.1120915,0.008,0.32,-0.1334273,0.2835041,0.2239103,0.3315223,0.2468072,0.3891196,0.3989091,0.221736,0.6406293,0.1919978,0.1788982,0.5974206,0.4090279,0.1379453,0.6732198,0.3824243,0.1375214,0.5122454,0.3000472,0.2104705,0.2166164
3148,3.605197,-30.45531,5667.043,1082.991,1,1,0,0,0,9,7.889862,2.39847,0.2931563,1.384472,5.973175,9.253878,12.59101,,1.329242,1.321585,1.339955,0.2501537,0.024,0.32,-0.5869475,0.6667971,0.2146662,1.035651,0.6234737,0.3233858,1.290315,0.5794841,0.4974556,1.259647,0.4702856,0.4584869,1.554176,0.3658481,0.507607,1.672835,0.3653994,0.3848053,1.504606,0.5640091,0.1599779
3149,3.600188,-30.4553,6055.663,1084.328,1,1,0,0,0,9,8.646322,7.252832,0.4218814,2.614104,8.371825,9.272398,10.58322,,1.328566,1.3204,1.340215,0.170028,0.008,0.32,-0.3168928,0.2982515,0.2334637,0.5321303,0.2866866,0.3327942,1.008249,0.2690418,0.5021471,0.5565268,0.2164122,0.4711074,0.7385853,0.1678456,0.5247383,0.4701348,0.1679865,0.3961513,0.4492608,0.2639908,0.1588868
3156,3.615153,-30.45529,4894.604,1084.255,1,1,0,0,0,9,6.578536,12.59026,6.27857,6.446648,6.557326,6.60635,6.644496,,1.31618,1.309845,1.32937,0.09285556,0.0688,0.32,0.3316472,0.2234629,0.2301084,0.8030149,0.1952997,0.3967766,0.8918876,0.1757491,0.6510932,0.8898081,0.1400596,0.6223239,1.059537,0.1116485,0.6561687,2.206574,0.1052373,0.5585084,1.090142,0.1666213,0.2206801
3191,3.627427,-30.45512,3942.331,1099.328,1,1,0,0,0,10,6.384956,6.648544,0.1061885,1.2945,5.699875,6.421357,7.88213,,1.288081,1.284791,1.303452,0.2172658,0.016,0.32,0.3679642,0.2287001,0.21969,0.774223,0.2278104,0.2916099,0.7131571,0.1830064,0.6004777,0.5164094,0.1455158,0.5765299,0.4318603,0.121209,0.5567386,0.615863,0.1071004,0.5392454,0.5996863,0.1718138,0.2075431
