SOURCE_ID,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,phot_bp_rp_excess_factor
1328053610760114304,250.51237524313268,36.396877500517384,-3.290722313168134,-2.4627171937800423,0.22448485,0.24551994,0.48622815268686825,0.23678353,19.25396,0.7177448,19.473896,18.756151,1.0518676,1.2580234
1328059555001228672,250.45818461178476,36.50186314656438,-4.293579169128199,-4.080995735040593,0.57778466,0.72442377,-2.1783985659978047,0.5767444,19.047222,0.84156036,18.797886,17.956326,2.3525188,2.062105
1328056634419673088,250.4024391050727,36.421406162533025,-4.4603494294449,-2.51590337499244,0.44256246,0.37683555,-0.09400203130459975,0.36686596,19.171839,0.6977043,18.312506,17.614801,0.9305864,3.3664532
1328058180609312384,250.39545340122328,36.47911821167145,-2.648308768191007,0.4668267375691717,0.16368592,0.18144727,0.009541802439292826,0.1686932,17.967327,0.82762337,17.309034,16.481411,1.3686101,2.983962
1328053816918658560,250.50177652634764,36.40503957932914,-3.509027151689264,-2.8363103762773454,0.24474046,0.2619809,0.20566872616040874,0.23899184,19.198294,0.7254238,19.44398,18.718555,0.908075,1.2331527
1328056703137232640,250.44655333434136,36.400175470545776,-3.319804047564567,-2.4187129170958146,0.14316937,0.21369582,0.280699155336969,0.16491269,17.94168,0.82850647,17.910048,17.081541,1.5218807,1.6761986
1328082056328470144,250.2250328676249,36.44745923661546,-2.9180741454578585,-2.002650826163544,0.42001197,0.56078124,-0.10781805749885835,0.43949473,20.21431,0.7501507,20.619175,19.869024,1.022711,1.078016
1328060684570852864,250.6953448052579,36.4717313160979,-3.4038072013640734,-3.2324618101184877,0.5552077,0.63766515,0.27485992071241966,0.6001356,20.38627,0.98039436,20.855524,19.87513,1.0017152,1.1447381
1328059383205891968,250.52659176796914,36.55516536208807,-3.3104051701092416,-2.8336907657138446,0.20330046,0.22373582,0.046109200789225015,0.2050906,19.183344,0.73900795,19.490227,18.751219,1.0548685,1.1733615
1328057768291549952,250.4007640266464,36.44321698946362,-2.7352862014564256,-1.6316192921828025,0.51544476,0.59451807,1.233979134757007,0.53651416,17.632383,0.9052973,16.611835,15.706538,4.8880067,4.3370333
1328058799086857728,250.48006760428086,36.49877975905364,-3.2103683183459664,-4.253069708007439,0.3021911,0.3363585,1.1347761776964491,0.32665947,19.16812,0.69880104,19.122162,18.42336,1.409296,1.5924007
1328058592923653376,250.47286947729737,36.462217800214525,-3.5001407590858773,-3.2326906912656392,0.2725773,0.54103357,0.8510631474987067,0.34042913,19.078247,0.23118019,18.737846,18.506666,1.0323962,1.7048686
1328034060078964096,250.30401701253717,36.39689319834333,-3.0327281732538913,-2.665737963131145,0.052726876,0.067310296,0.10915387273651686,0.05412544,17.00529,0.9190006,17.387518,16.468517,1.0453176,1.2001234
1328059726797517440,250.4357009109893,36.51612918889052,-2.924857727085129,-2.7417314771039276,0.13931242,0.15644592,0.4770358352287244,0.13732228,18.387459,0.69880486,18.50456,17.805756,1.1313711,1.370344
1328058146250276480,250.37208542960747,36.48640067672975,-2.268223113304073,-3.600372564860077,0.4243611,0.5369876,1.0099057193895138,0.41584793,18.38078,0.68281174,17.689358,17.006546,4.067516,2.8634713
1328055397466826752,250.50483886816102,36.4330354625573,-3.312187264718706,-2.3947607267964766,0.33732015,0.39141604,-0.23291051252910394,0.3525058,19.703207,0.7909584,20.21892,19.427961,0.96998376,0.9933976
1328104566257346944,250.29711267831993,36.44748729004186,-2.8619287260428203,-2.9949347626029494,0.17826137,0.20836808,0.17730461029349392,0.1723507,18.918951,0.6423168,19.145512,18.503195,0.92960006,1.2059602
1328058764722202880,250.50062601141104,36.48473535192845,-3.1820247341068773,-1.2764654616851752,0.23498693,0.29056853,0.29553724049450364,0.2574157,19.067205,0.8911114,19.243847,18.352736,1.3555353,1.4291599
1328058111890255744,250.36758758270562,36.466285733733315,-3.318934494455201,-3.1252193104201025,0.24436697,0.48037732,0.44153776481877266,0.2770654,19.009928,0.53544617,18.599241,18.063795,1.033171,2.0647862
1328082090688719488,250.24772831227187,36.45802418002663,-3.0364374253777475,-2.594261810161384,0.0890188,0.094617195,0.2307725339428976,0.07998389,17.672955,0.81526756,17.967367,17.1521,1.00294,1.2330456
1328058318044802816,250.4908309617209,36.43546259240266,-2.3483585801213054,-1.9981570670103426,0.29199827,0.3296965,0.03829334454985872,0.31020358,18.797796,0.74053,18.779675,18.039145,2.186706,1.5840144
1328056359540137856,250.42219280510142,36.389051670600146,-3.388178408934894,-2.724034032198046,0.3982974,0.37865356,-0.5382968414636102,0.3735198,19.81084,0.60230446,20.373684,19.77138,1.0073031,0.8683619
1328039072296767360,250.61769527933188,36.20976566633736,-4.255128503638462,0.5009936278474592,0.12441902,0.14452365,1.1176239458891344,0.12602058,18.43219,2.4011688,19.720766,17.319597,0.9656013,1.3941954
1328105184732322304,250.37694579814635,36.50375678292286,-3.6425018354678236,-2.168313191942821,0.4637874,0.5222839,-0.7032396725735514,0.3990917,19.514124,1.0933723,19.395144,18.301771,1.1053022,2.0949497
1328062372502513920,250.67600431194742,36.56358560739459,-3.168089956081929,-2.7023147091669255,0.09311672,0.11054451,-0.004649063080909566,0.09377874,17.780067,0.8292217,18.071634,17.242413,1.2777647,1.2451003
1328058863506570752,250.5274776900748,36.47617834672533,-3.053236221430563,-2.3713456855903865,0.12726544,0.16723014,0.01660401655223792,0.13477826,18.56283,0.60370064,18.837135,18.233435,0.9792818,1.1334354
1328058318044827904,250.48703931755526,36.43411372403869,-2.011597051346705,-3.2621793730923274,0.26474613,0.29692715,-0.03613550111238825,0.27954364,18.645851,0.71474266,18.371632,17.656889,1.6877904,1.9802314
1328057115454858368,250.4545149075955,36.44169405317616,-2.8200269185734106,-2.0893268841522405,0.12628524,0.18168421,-0.038970532303174,0.12919168,17.881685,0.7120342,17.28532,16.573286,1.2504995,2.660735
1328060512772129792,250.6633517583956,36.43019425491985,-3.087694170665933,-2.6499357862777417,0.27249935,0.2960725,0.16359925417799034,0.27846685,19.60397,0.7473278,19.935986,19.188658,0.9798656,1.1512235
1328055328747203712,250.52067125191007,36.43377736143019,-2.91268514981098,-1.5620709627866436,0.6181908,0.6401089,-1.2094711880145619,0.6182981,19.663021,0.664423,19.475801,18.811378,2.2969654,1.7839973
1328053816918701824,250.49387197628786,36.404006799095065,-2.9282344874517174,-2.089813030213089,0.6104278,0.6731362,0.18525480372423275,0.6354116,20.36833,0.53743553,20.680048,20.142612,0.941217,1.0624315
1328061960185714432,250.59061275494778,36.521986028145555,-3.098750863569346,-2.2813315446715716,0.124904014,0.14814888,-0.09746602463544392,0.13347207,18.521126,0.6398678,18.759819,18.119951,1.0235679,1.1911836
1328057252900003072,250.36683275075998,36.40422347376742,-3.082243870988574,-2.349487354349708,0.7234695,0.8449896,-1.5061441519429883,0.8833689,20.549398,0.8887863,20.535007,19.646221,1.0301871,1.702021
1328104634976371328,250.34230121157353,36.46063078376114,-3.1344805230980364,-2.080033788401488,0.09859554,0.13282724,0.20036344533630324,0.10030266,17.54843,0.78193283,17.391722,16.609789,1.3483294,1.8370602
1328107448175466624,250.45390397044378,36.61711063219003,-3.246205081011977,-3.2496118217051793,0.32561487,0.38605493,0.19629823651737519,0.33028716,19.887592,0.91662216,20.296337,19.379715,1.0332701,1.1696935
